"   ","合约","日期","前收盘价","前结算价","开盘价","最高价","最低价","收盘价","结算价","涨跌1","涨跌2","成交量","成交金额","持仓量"
"1","a1301","20130104","4610.00","4617.00","4590.00","4625.00","4590.00","4625.00","4590.00","8.00","-27.00","1634","75014700.00","1974"
"2","a1301","20130107","4625.00","4590.00","0.00","0.00","0.00","4590.00","4590.00","0.00","0.00","0","0.00","888"
"3","a1301","20130108","4590.00","4590.00","4646.00","4646.00","4613.00","4622.00","4625.00","32.00","35.00","200","9250000.00","1088"
"4","a1301","20130109","4622.00","4625.00","0.00","0.00","0.00","4625.00","4625.00","0.00","0.00","0","0.00","1088"
"5","a1301","20130110","4625.00","4625.00","0.00","0.00","0.00","4625.00","4625.00","0.00","0.00","0","0.00","400"
"6","a1301","20130111","4625.00","4625.00","0.00","0.00","0.00","4625.00","4625.00","0.00","0.00","0","0.00","400"
"7","a1301","20130114","4625.00","4625.00","0.00","0.00","0.00","4625.00","4625.00","0.00","0.00","0","0.00","200"
"8","a1301","20130115","4625.00","4625.00","0.00","0.00","0.00","4625.00","4625.00","0.00","0.00","0","0.00","200"
"9","a1301","20130116","4625.00","4625.00","0.00","0.00","0.00","4625.00","4625.00","0.00","0.00","0","0.00","200"
"10","a1301","20130117","4625.00","4625.00","0.00","0.00","0.00","4625.00","4594.00","0.00","-31.00","0","0.00","0"
"11","a1303","20130104","4711.00","4711.00","4731.00","4731.00","4686.00","4707.00","4709.00","-4.00","-2.00","26","1224520.00","222"
"12","a1303","20130107","4707.00","4709.00","4723.00","4736.00","4704.00","4704.00","4721.00","-5.00","12.00","18","849780.00","228"
"13","a1303","20130108","4704.00","4721.00","4690.00","4739.00","4690.00","4708.00","4706.00","-13.00","-15.00","8","376540.00","228"
"14","a1303","20130109","4708.00","4706.00","4739.00","4739.00","4707.00","4707.00","4723.00","1.00","17.00","4","188920.00","226"
"15","a1303","20130110","4707.00","4723.00","4723.00","4736.00","4723.00","4730.00","4725.00","7.00","2.00","46","2173640.00","190"
"16","a1303","20130111","4730.00","4725.00","4721.00","4736.00","4721.00","4736.00","4732.00","11.00","7.00","8","378580.00","186"
"17","a1303","20130114","4736.00","4732.00","0.00","0.00","0.00","4732.00","4732.00","0.00","0.00","0","0.00","186"
"18","a1303","20130115","4732.00","4732.00","4757.00","4773.00","4757.00","4761.00","4763.00","29.00","31.00","6","285820.00","186"
"19","a1303","20130116","4761.00","4763.00","4769.00","4804.00","4769.00","4804.00","4782.00","41.00","19.00","8","382600.00","182"
"20","a1303","20130117","4804.00","4782.00","4777.00","4777.00","4771.00","4771.00","4772.00","-11.00","-10.00","10","477220.00","182"
"21","a1303","20130118","4771.00","4772.00","4761.00","4762.00","4751.00","4757.00","4758.00","-15.00","-14.00","46","2188940.00","182"
"22","a1303","20130121","4757.00","4758.00","4821.00","4838.00","4790.00","4790.00","4807.00","32.00","49.00","134","6442000.00","236"
"23","a1303","20130122","4790.00","4807.00","4779.00","4781.00","4779.00","4779.00","4779.00","-28.00","-28.00","16","764760.00","226"
"24","a1303","20130123","4779.00","4779.00","4816.00","4824.00","4780.00","4801.00","4797.00","22.00","18.00","16","767620.00","224"
"25","a1303","20130124","4801.00","4797.00","4817.00","4817.00","4780.00","4780.00","4787.00","-17.00","-10.00","26","1244700.00","222"
"26","a1303","20130125","4780.00","4787.00","4777.00","4807.00","4761.00","4771.00","4779.00","-16.00","-8.00","8","382320.00","218"
"27","a1303","20130128","4771.00","4779.00","0.00","0.00","0.00","4779.00","4779.00","0.00","0.00","0","0.00","218"
"28","a1303","20130129","4779.00","4779.00","4793.00","4793.00","4791.00","4791.00","4792.00","12.00","13.00","8","383400.00","224"
"29","a1303","20130130","4791.00","4792.00","4790.00","4800.00","4790.00","4800.00","4793.00","8.00","1.00","78","3738640.00","160"
"30","a1303","20130131","4800.00","4793.00","4800.00","4800.00","4800.00","4800.00","4800.00","7.00","7.00","2","96000.00","160"
"31","a1303","20130201","4800.00","4800.00","4869.00","4869.00","4791.00","4802.00","4812.00","2.00","12.00","20","962500.00","154"
"32","a1303","20130204","4802.00","4812.00","0.00","0.00","0.00","4812.00","4812.00","0.00","0.00","0","0.00","154"
"33","a1303","20130205","4812.00","4812.00","4794.00","4819.00","4794.00","4819.00","4812.00","7.00","0.00","8","385020.00","154"
"34","a1303","20130206","4819.00","4812.00","4788.00","4802.00","4788.00","4801.00","4792.00","-11.00","-20.00","26","1245960.00","132"
"35","a1303","20130207","4801.00","4792.00","0.00","0.00","0.00","4792.00","4792.00","0.00","0.00","0","0.00","132"
"36","a1303","20130208","4792.00","4792.00","4792.00","4961.00","4792.00","4805.00","4837.00","13.00","45.00","20","967500.00","136"
"37","a1303","20130218","4805.00","4837.00","4802.00","4802.00","4800.00","4800.00","4800.00","-37.00","-37.00","6","288040.00","136"
"38","a1303","20130219","4800.00","4800.00","4800.00","4820.00","4800.00","4809.00","4810.00","9.00","10.00","22","1058280.00","142"
"39","a1303","20130220","4809.00","4810.00","4841.00","4841.00","4841.00","4841.00","4841.00","31.00","31.00","2","96820.00","140"
"40","a1303","20130221","4841.00","4841.00","4841.00","4841.00","4821.00","4821.00","4839.00","-20.00","-2.00","24","1161440.00","116"
"41","a1303","20130222","4821.00","4839.00","4980.00","4980.00","4846.00","4900.00","4907.00","61.00","68.00","8","392600.00","116"
"42","a1303","20130225","4900.00","4907.00","4821.00","4879.00","4821.00","4865.00","4857.00","-42.00","-50.00","96","4662720.00","122"
"43","a1303","20130226","4865.00","4857.00","4880.00","4880.00","4880.00","4880.00","4880.00","23.00","23.00","10","488000.00","122"
"44","a1303","20130227","4880.00","4880.00","4851.00","4851.00","4850.00","4850.00","4850.00","-30.00","-30.00","8","388020.00","130"
"45","a1303","20130228","4850.00","4850.00","4811.00","5044.00","4811.00","5044.00","4880.00","194.00","30.00","10","488080.00","132"
