ROWNUM,合约,日期,前收盘价,前结算价,开盘价,最高价,最低价,收盘价,结算价,涨跌1,涨跌2,成交量,成交金额,持仓量
1,a1701,20170103,4361,4372,4390,4390,4200,4337,4289,-35,-83,194,8322380,20860
2,a1701,20170104,4337,4289,4335,4335,4335,4335,4335,46,46,20,867000,16314
3,a1701,20170105,4335,4335,4414,4414,4349,4400,4396,65,61,3150,138474640,16000
4,a1701,20170106,4400,4396,4380,4391,4341,4385,4386,-11,-10,1778,77983940,14182
5,a1701,20170109,4385,4386,4380,4390,4352,4352,4375,-34,-11,1340,58636880,9554
6,a1701,20170110,4352,4375,4370,4375,4326,4326,4338,-49,-37,1110,48158600,7570
7,a1701,20170111,4326,4338,0,0,0,4338,4338,0,0,0,0,6000
8,a1701,20170112,4338,4338,4300,4303,4300,4300,4300,-38,-38,560,24080900,5328
9,a1701,20170113,4300,4300,0,0,0,4300,4300,0,0,0,0,3934
10,a1701,20170116,4300,4300,4210,4210,4200,4200,4372,-100,72,36,1514200,0
11,a1703,20170103,4201,4205,4257,4257,4173,4174,4191,-31,-14,10,419120,1102
12,a1703,20170104,4174,4191,4179,4179,4179,4179,4179,-12,-12,4,167160,1102
13,a1703,20170105,4179,4179,0,0,0,4179,4179,0,0,0,0,1102
14,a1703,20170106,4179,4179,4151,4293,4150,4151,4197,-28,18,18,755520,1104
15,a1703,20170109,4151,4197,4151,4151,4143,4143,4149,-54,-48,8,331920,1104
16,a1703,20170110,4143,4149,4067,4067,4067,4067,4067,-82,-82,2,81340,1104
17,a1703,20170111,4067,4067,4096,4172,4085,4085,4122,18,55,10,412200,1102
18,a1703,20170112,4085,4122,4085,4129,4015,4015,4095,-107,-27,170,6961980,1262
19,a1703,20170113,4015,4095,4149,4150,4034,4034,4096,-61,1,198,8110520,1302
20,a1703,20170116,4034,4096,4065,4200,4065,4143,4100,47,4,32,1312100,1302
21,a1703,20170117,4143,4100,0,0,0,4100,4100,0,0,0,0,1302
22,a1703,20170118,4100,4100,4219,4220,4181,4204,4201,104,101,56,2352860,1328
23,a1703,20170119,4204,4201,0,0,0,4201,4201,0,0,0,0,1328
24,a1703,20170120,4201,4201,0,0,0,4201,4201,0,0,0,0,1328
25,a1703,20170123,4201,4201,0,0,0,4201,4201,0,0,0,0,1328
26,a1703,20170124,4201,4201,4376,4376,4151,4153,4226,-48,25,6,253600,1328
27,a1703,20170125,4153,4226,4018,4167,4018,4167,4060,-59,-166,14,568480,1328
28,a1703,20170126,4167,4060,0,0,0,4060,4060,0,0,0,0,1328
29,a1703,20170203,4060,4060,4243,4243,4242,4242,4242,182,182,6,254540,1322
30,a1703,20170206,4242,4242,0,0,0,4242,4242,0,0,0,0,1322
31,a1703,20170207,4242,4242,0,0,0,4242,4242,0,0,0,0,1322
32,a1703,20170208,4242,4242,4319,4319,4150,4150,4186,-92,-56,38,1590860,1302
33,a1703,20170209,4150,4186,4150,4311,4150,4311,4234,125,48,52,2202060,1282
34,a1703,20170210,4311,4234,4191,4283,4191,4222,4218,-12,-16,22,928060,1276
35,a1703,20170213,4222,4218,4301,4311,4193,4209,4240,-9,22,24,1017600,1272
36,a1703,20170214,4209,4240,4223,4358,4223,4300,4287,60,47,32,1372100,1266
37,a1703,20170215,4300,4287,4385,4468,4226,4348,4347,61,60,86,3738560,1262
38,a1703,20170216,4348,4347,0,0,0,4347,4347,0,0,0,0,1262
39,a1703,20170217,4347,4347,4310,4310,4305,4305,4307,-42,-40,4,172300,1258
40,a1703,20170220,4305,4307,4232,4232,4200,4200,4217,-107,-90,18,759100,1246
41,a1703,20170221,4200,4217,4271,4271,4271,4271,4271,54,54,4,170840,1242
42,a1703,20170222,4271,4271,4251,4251,4104,4104,4188,-167,-83,46,1926600,1222
43,a1703,20170223,4104,4188,4129,4130,4129,4130,4129,-58,-59,24,991180,1222
44,a1703,20170224,4130,4129,3925,3925,3925,3925,3925,-204,-204,4,157000,1222
45,a1703,20170227,3925,3925,4001,4085,3987,4030,4022,105,97,110,4425020,1164
46,a1703,20170228,4030,4022,4000,4025,4000,4025,4017,3,-5,14,562500,1150
47,a1703,20170301,4025,4017,4010,4010,4010,4010,4010,-7,-7,2,80200,1148
48,a1703,20170302,4010,4010,4000,4000,4000,4000,4000,-10,-10,4,160000,956
49,a1703,20170303,4000,4000,4000,4000,4000,4000,4000,0,0,40,1600000,916
50,a1703,20170306,4000,4000,0,0,0,4000,4000,0,0,0,0,516
51,a1703,20170307,4000,4000,0,0,0,4000,4000,0,0,0,0,316
52,a1703,20170308,4000,4000,0,0,0,4000,4000,0,0,0,0,316
53,a1703,20170309,4000,4000,0,0,0,4000,4000,0,0,0,0,316
54,a1703,20170310,4000,4000,0,0,0,4000,4000,0,0,0,0,316
55,a1703,20170313,4000,4000,0,0,0,4000,4000,0,0,0,0,0
56,a1703,20170314,4000,4000,0,0,0,4000,4000,0,0,0,0,0
57,a1705,20170103,4279,4296,4270,4311,4208,4217,4246,-79,-50,204190,8670845860,220916
58,a1705,20170104,4217,4246,4220,4287,4193,4285,4236,39,-10,285182,12080976860,234992
59,a1705,20170105,4285,4236,4285,4296,4241,4260,4271,24,35,224458,9588351060,231530
60,a1705,20170106,4260,4271,4248,4323,4233,4267,4279,-4,8,270432,11573863000,237594
61,a1705,20170109,4267,4279,4262,4291,4185,4211,4226,-68,-53,352130,14883347760,225122
62,a1705,20170110,4211,4226,4211,4233,4143,4169,4185,-57,-41,291642,12205671400,217724
63,a1705,20170111,4169,4185,4163,4214,4161,4174,4186,-11,1,288396,12072946920,215232
64,a1705,20170112,4174,4186,4170,4198,4088,4112,4142,-74,-44,339852,14078640300,221344
65,a1705,20170113,4112,4142,4115,4194,4100,4147,4149,5,7,322058,13362736560,203754
66,a1705,20170116,4147,4149,4143,4252,4128,4232,4197,83,48,330776,13883130700,189194
67,a1705,20170117,4232,4197,4232,4278,4200,4230,4242,33,45,266598,11309325920,180746
68,a1705,20170118,4230,4242,4242,4282,4206,4264,4243,22,1,258896,10985418960,188432
69,a1705,20170119,4264,4243,4259,4306,4237,4287,4273,44,30,328396,14034396620,192598
70,a1705,20170120,4287,4273,4292,4292,4217,4219,4254,-54,-19,177472,7550760680,177778
71,a1705,20170123,4219,4254,4221,4254,4164,4182,4199,-72,-55,213350,8958849260,179154
72,a1705,20170124,4182,4199,4192,4240,4175,4214,4209,15,10,150058,6316904280,170170
73,a1705,20170125,4214,4209,4214,4224,4164,4191,4196,-18,-13,165648,6950648760,154174
74,a1705,20170126,4191,4196,4208,4246,4184,4238,4220,42,24,149104,6292859440,152776
75,a1705,20170203,4238,4220,4220,4332,4206,4315,4297,95,77,212938,9151615380,197316
76,a1705,20170206,4315,4297,4319,4371,4288,4359,4330,62,33,254668,11029538280,221378
77,a1705,20170207,4359,4330,4353,4367,4326,4349,4345,19,15,172980,7516147020,207344
