ROWNUM,合约,日期,前收盘价,前结算价,开盘价,最高价,最低价,收盘价,结算价,涨跌1,涨跌2,成交量,成交金额,持仓量
1,b1701,20170103,4226,4226,0,0,0,4226,4226,0,0,0,0,0
2,b1701,20170104,4226,4226,0,0,0,4226,4226,0,0,0,0,0
3,b1701,20170105,4226,4226,0,0,0,4226,4226,0,0,0,0,0
4,b1701,20170106,4226,4226,0,0,0,4226,4226,0,0,0,0,0
5,b1701,20170109,4226,4226,0,0,0,4226,4226,0,0,0,0,0
6,b1701,20170110,4226,4226,0,0,0,4226,4226,0,0,0,0,0
7,b1701,20170111,4226,4226,0,0,0,4226,4226,0,0,0,0,0
8,b1701,20170112,4226,4226,0,0,0,4226,4226,0,0,0,0,0
9,b1701,20170113,4226,4226,0,0,0,4226,4226,0,0,0,0,0
10,b1701,20170116,4226,4226,0,0,0,4226,4226,0,0,0,0,0
11,b1703,20170103,4004,4004,0,0,0,4004,4004,0,0,0,0,10
12,b1703,20170104,4004,4004,0,0,0,4030,4030,26,26,0,0,10
13,b1703,20170105,4030,4030,0,0,0,4060,4060,30,30,0,0,10
14,b1703,20170106,4060,4060,0,0,0,4070,4070,10,10,0,0,10
15,b1703,20170109,4070,4070,0,0,0,4070,4070,0,0,0,0,10
16,b1703,20170110,4070,4070,0,0,0,4070,4070,0,0,0,0,10
17,b1703,20170111,4070,4070,0,0,0,4070,4070,0,0,0,0,10
18,b1703,20170112,4070,4070,0,0,0,4070,4070,0,0,0,0,10
19,b1703,20170113,4070,4070,0,0,0,4070,4070,0,0,0,0,10
20,b1703,20170116,4070,4070,4200,4200,3921,4033,4051,-37,-19,6,243080,8
21,b1703,20170117,4033,4051,0,0,0,4060,4060,9,9,0,0,8
22,b1703,20170118,4060,4060,4100,4100,4100,4100,4100,40,40,2,82000,8
23,b1703,20170119,4100,4100,0,0,0,4100,4100,0,0,0,0,8
24,b1703,20170120,4100,4100,0,0,0,4100,4100,0,0,0,0,8
25,b1703,20170123,4100,4100,0,0,0,4100,4100,0,0,0,0,8
26,b1703,20170124,4100,4100,0,0,0,4100,4100,0,0,0,0,8
27,b1703,20170125,4100,4100,4098,4098,4098,4098,4098,-2,-2,2,81960,6
28,b1703,20170126,4098,4098,0,0,0,4098,4098,0,0,0,0,6
29,b1703,20170203,4098,4098,0,0,0,4098,4098,0,0,0,0,6
30,b1703,20170206,4098,4098,0,0,0,4098,4098,0,0,0,0,6
31,b1703,20170207,4098,4098,0,0,0,4098,4098,0,0,0,0,6
32,b1703,20170208,4098,4098,0,0,0,4098,4098,0,0,0,0,6
33,b1703,20170209,4098,4098,4001,4099,4001,4099,4050,1,-48,4,162000,6
34,b1703,20170210,4099,4050,0,0,0,4070,4070,20,20,0,0,6
35,b1703,20170213,4070,4070,0,0,0,4070,4070,0,0,0,0,6
36,b1703,20170214,4070,4070,0,0,0,4070,4070,0,0,0,0,6
37,b1703,20170215,4070,4070,4000,4000,4000,4000,4000,-70,-70,2,80000,6
38,b1703,20170216,4000,4000,0,0,0,4000,4000,0,0,0,0,6
39,b1703,20170217,4000,4000,0,0,0,4000,4000,0,0,0,0,6
40,b1703,20170220,4000,4000,0,0,0,4160,4160,160,160,0,0,6
41,b1703,20170221,4160,4160,0,0,0,4161,4161,1,1,0,0,6
42,b1703,20170222,4161,4161,4240,4240,4240,4240,4240,79,79,2,84800,6
43,b1703,20170223,4240,4240,0,0,0,4240,4240,0,0,0,0,6
44,b1703,20170224,4240,4240,4259,4259,4259,4259,4259,19,19,2,85180,4
45,b1703,20170227,4259,4259,4089,4089,4089,4089,4089,-170,-170,2,81780,4
46,b1703,20170228,4089,4089,4250,4250,4250,4250,4250,161,161,2,85000,2
