"   ","合约","日期","前收盘价","前结算价","开盘价","最高价","最低价","收盘价","结算价","涨跌1","涨跌2","成交量","成交金额","持仓量"
"1","bb1404","20131206","0.00","125.00","124.50","127.75","117.25","125.35","124.85","0.35","-0.15","250","15606500.00","18"
"2","bb1404","20131209","125.35","124.85","125.45","127.55","125.45","127.50","126.80","2.65","1.95","6","380500.00","16"
"3","bb1404","20131210","127.5","126.80","133.40","134.30","132.65","134.20","133.90","7.40","7.10","22","1473300.00","6"
"4","bb1404","20131211","134.2","133.90","133.50","133.50","133.50","133.50","133.50","-0.40","-0.40","2","133500.00","6"
"5","bb1404","20131212","133.5","133.50","135.40","135.85","133.95","133.95","134.90","0.45","1.40","22","1484250.00","8"
"6","bb1404","20131213","133.95","134.90","133.80","133.80","132.55","132.55","133.15","-2.35","-1.75","4","266350.00","8"
"7","bb1404","20131216","132.55","133.15","0.00","0.00","0.00","133.15","133.15","0.00","0.00","0","0.00","8"
"8","bb1404","20131217","133.15","133.15","135.30","135.50","132.55","132.60","134.25","-0.55","1.10","46","3087750.00","12"
"9","bb1404","20131218","132.6","134.25","131.90","131.90","130.15","131.55","131.00","-2.70","-3.25","10","655100.00","8"
"10","bb1404","20131219","131.55","131.00","0.00","0.00","0.00","131.00","131.00","0.00","0.00","0","0.00","8"
"11","bb1404","20131220","131","131.00","0.00","0.00","0.00","131.00","131.00","0.00","0.00","0","0.00","8"
"12","bb1404","20131223","131","131.00","0.00","0.00","0.00","131.05","131.05","0.05","0.05","0","0.00","8"
"13","bb1404","20131224","131.05","131.05","132.55","132.55","132.50","132.50","132.50","1.45","1.45","6","397600.00","12"
"14","bb1404","20131225","132.5","132.50","0.00","0.00","0.00","132.50","132.50","0.00","0.00","0","0.00","12"
"15","bb1404","20131226","132.5","132.50","129.00","129.00","127.20","127.20","127.75","-5.30","-4.75","20","1277850.00","16"
"16","bb1404","20131227","127.2","127.75","125.55","125.55","124.60","125.00","125.00","-2.75","-2.75","10","625150.00","18"
"17","bb1404","20131230","125","125.00","122.00","123.35","121.85","123.35","122.65","-1.65","-2.35","16","981300.00","18"
"18","bb1404","20131231","123.35","122.65","124.05","124.05","123.00","123.00","123.35","0.35","0.70","6","370050.00","24"
"19","bb1405","20131206","0.00","126.00","126.05","129.00","123.00","125.85","126.50","-0.15","0.50","87078","5508600350.00","4052"
