ROWNUM,合约,日期,前收盘价,前结算价,开盘价,最高价,最低价,收盘价,结算价,涨跌1,涨跌2,成交量,成交金额,持仓量
1,bb1701,20170103,85.8,86.4,86.4,86.4,83.1,85,84.8,-1.4,-1.6,6,254500,74
2,bb1701,20170104,85,84.8,89,89.65,89,89.65,89.3,4.85,4.5,4,178650,74
3,bb1701,20170105,89.65,89.3,94.65,94.65,94.65,94.65,94.65,5.35,5.35,2,94650,74
4,bb1701,20170106,94.65,94.65,100.3,100.3,95,95,97.75,0.35,3.1,6,293300,80
5,bb1701,20170109,95,97.75,103.6,103.6,103.6,103.6,103.6,5.85,5.85,2,103600,82
6,bb1701,20170110,103.6,103.6,109.8,109.8,109.8,109.8,109.8,6.2,6.2,2,109800,84
7,bb1701,20170111,109.8,109.8,116,116,116,116,116,6.2,6.2,2,116000,84
8,bb1701,20170112,116,116,115,122.95,115,122.95,118.85,6.95,2.85,70,4160100,92
9,bb1701,20170113,122.95,118.85,125.95,125.95,125.95,125.95,125.95,7.1,7.1,2,125950,92
10,bb1701,20170116,125.95,125.95,133.5,133.5,130,130,117.9,4.05,-8.05,32,2111500,0
11,bb1702,20170103,84,84,0,0,0,82.45,82.45,-1.55,-1.55,0,0,0
12,bb1702,20170104,82.45,82.45,0,0,0,86.55,86.55,4.1,4.1,0,0,0
13,bb1702,20170105,86.55,86.55,0,0,0,90.85,90.85,4.3,4.3,0,0,0
14,bb1702,20170106,90.85,90.85,0,0,0,93.8,93.8,2.95,2.95,0,0,0
15,bb1702,20170109,93.8,93.8,0,0,0,98.45,98.45,4.65,4.65,0,0,0
16,bb1702,20170110,98.45,98.45,0,0,0,103.35,103.35,4.9,4.9,0,0,0
17,bb1702,20170111,103.35,103.35,0,0,0,108.5,108.5,5.15,5.15,0,0,0
18,bb1702,20170112,108.5,108.5,0,0,0,111.15,111.15,2.65,2.65,0,0,0
19,bb1702,20170113,111.15,111.15,0,0,0,116.7,116.7,5.55,5.55,0,0,0
