"   ","合约","日期","前收盘价","前结算价","开盘价","最高价","最低价","收盘价","结算价","涨跌1","涨跌2","成交量","成交金额","持仓量"
"1","c1101","20110104","2005.00","2009.00","2129.00","2129.00","2003.00","2010.00","2043.00","1.00","34.00","142","2901660.00","3428"
"2","c1101","20110105","2010.00","2043.00","2010.00","2010.00","2010.00","2010.00","2010.00","-33.00","-33.00","100","2010000.00","2482"
"3","c1101","20110106","2010.00","2010.00","0.00","0.00","0.00","2010.00","2010.00","0.00","0.00","0","0.00","742"
"4","c1101","20110107","2010.00","2010.00","0.00","0.00","0.00","2010.00","2010.00","0.00","0.00","0","0.00","0"
"5","c1101","20110110","2010.00","2010.00","0.00","0.00","0.00","2010.00","2010.00","0.00","0.00","0","0.00","0"
"6","c1101","20110111","2010.00","2010.00","0.00","0.00","0.00","2010.00","2010.00","0.00","0.00","0","0.00","0"
"7","c1101","20110112","2010.00","2010.00","0.00","0.00","0.00","2010.00","2010.00","0.00","0.00","0","0.00","0"
"8","c1101","20110113","2010.00","2010.00","0.00","0.00","0.00","2010.00","2010.00","0.00","0.00","0","0.00","0"
"9","c1101","20110114","2010.00","2010.00","0.00","0.00","0.00","2010.00","2010.00","0.00","0.00","0","0.00","0"
"10","c1101","20110117","2010.00","2010.00","0.00","0.00","0.00","2010.00","2029.00","0.00","19.00","0","0.00","0"
"11","c1103","20110104","2070.00","2067.00","2073.00","2083.00","2073.00","2080.00","2079.00","13.00","12.00","106","2203760.00","800"
"12","c1103","20110105","2080.00","2079.00","2076.00","2085.00","2076.00","2082.00","2081.00","3.00","2.00","154","3205200.00","782"
"13","c1103","20110106","2082.00","2081.00","2083.00","2090.00","2083.00","2087.00","2085.00","6.00","4.00","92","1918760.00","780"
"14","c1103","20110107","2087.00","2085.00","2081.00","2086.00","2081.00","2082.00","2083.00","-3.00","-2.00","110","2291440.00","786"
"15","c1103","20110110","2082.00","2083.00","2084.00","2084.00","2081.00","2081.00","2081.00","-2.00","-2.00","94","1956920.00","782"
"16","c1103","20110111","2081.00","2081.00","2084.00","2086.00","2060.00","2080.00","2081.00","-1.00","0.00","182","3788240.00","776"
"17","c1103","20110112","2080.00","2081.00","2080.00","2083.00","2077.00","2082.00","2080.00","1.00","-1.00","112","2330580.00","776"
"18","c1103","20110113","2082.00","2080.00","2093.00","2108.00","2083.00","2085.00","2087.00","5.00","7.00","136","2839280.00","808"
"19","c1103","20110114","2085.00","2087.00","2083.00","2089.00","2083.00","2087.00","2086.00","0.00","-1.00","50","1043080.00","806"
"20","c1103","20110117","2087.00","2086.00","2088.00","2092.00","2085.00","2085.00","2088.00","-1.00","2.00","234","4886480.00","802"
"21","c1103","20110118","2085.00","2088.00","2082.00","2089.00","2078.00","2088.00","2084.00","0.00","-4.00","164","3418520.00","802"
"22","c1103","20110119","2088.00","2084.00","2091.00","2126.00","2084.00","2105.00","2101.00","21.00","17.00","748","15716840.00","342"
"23","c1103","20110120","2105.00","2101.00","2095.00","2099.00","2080.00","2084.00","2087.00","-17.00","-14.00","186","3882820.00","276"
"24","c1103","20110121","2084.00","2087.00","2090.00","2090.00","2081.00","2081.00","2084.00","-6.00","-3.00","110","2292440.00","242"
"25","c1103","20110124","2081.00","2084.00","2054.00","2100.00","2054.00","2084.00","2081.00","0.00","-3.00","84","1748760.00","254"
"26","c1103","20110125","2084.00","2081.00","2077.00","2089.00","2077.00","2079.00","2083.00","-2.00","2.00","42","875020.00","248"
"27","c1103","20110126","2079.00","2083.00","2070.00","2083.00","2062.00","2069.00","2068.00","-14.00","-15.00","54","1116900.00","230"
"28","c1103","20110127","2069.00","2068.00","2079.00","2080.00","2062.00","2069.00","2071.00","1.00","3.00","40","828480.00","218"
"29","c1103","20110128","2069.00","2071.00","2062.00","2076.00","2062.00","2069.00","2067.00","-2.00","-4.00","36","744260.00","216"
"30","c1103","20110131","2069.00","2067.00","2063.00","2074.00","2063.00","2068.00","2068.00","1.00","1.00","74","1531020.00","210"
"31","c1103","20110201","2068.00","2068.00","2075.00","2081.00","2073.00","2078.00","2076.00","10.00","8.00","42","872180.00","210"
