ROWNUM,合约,日期,前收盘价,前结算价,开盘价,最高价,最低价,收盘价,结算价,涨跌1,涨跌2,成交量,成交金额,持仓量
1,c1701,20170103,1489,1501,1501,1508,1484,1508,1490,7,-11,1338,19947900,18622
2,c1701,20170104,1508,1490,1516,1516,1480,1485,1493,-5,3,1282,19143000,16320
3,c1701,20170105,1485,1493,1514,1516,1514,1516,1514,23,21,1006,15238960,15320
4,c1701,20170106,1516,1514,1516,1516,1490,1490,1501,-24,-13,2200,33024000,13786
5,c1701,20170109,1490,1501,1482,1500,1480,1500,1497,-1,-4,1242,18601400,11636
6,c1701,20170110,1500,1497,1485,1485,1475,1475,1479,-22,-18,1614,23881760,9196
7,c1701,20170111,1475,1479,1500,1567,1500,1567,1501,88,22,326,4894020,7800
8,c1701,20170112,1567,1501,1510,1510,1510,1510,1510,9,9,100,1510000,7800
9,c1701,20170113,1510,1510,0,0,0,1510,1510,0,0,0,0,7122
10,c1701,20170116,1510,1510,0,0,0,1495,1495,-15,-15,0,0,0
11,c1703,20170103,1479,1477,1479,1480,1473,1475,1476,-2,-1,1010,14916720,8874
12,c1703,20170104,1475,1476,1478,1481,1475,1477,1478,1,2,434,6416200,8870
13,c1703,20170105,1477,1478,1479,1480,1475,1476,1477,-2,-1,702,10375140,8920
14,c1703,20170106,1476,1477,1477,1478,1467,1473,1472,-4,-5,326,4799920,8904
15,c1703,20170109,1473,1472,1472,1472,1466,1468,1468,-4,-4,262,3847080,8884
16,c1703,20170110,1468,1468,1460,1472,1460,1467,1467,-1,-1,250,3668760,8880
17,c1703,20170111,1467,1467,1466,1472,1466,1469,1469,2,2,336,4937460,8864
18,c1703,20170112,1469,1469,1469,1470,1465,1467,1466,-2,-3,304,4458180,8862
19,c1703,20170113,1467,1466,1461,1474,1461,1472,1471,6,5,336,4943080,8878
20,c1703,20170116,1472,1471,1470,1478,1470,1478,1475,7,4,584,8617160,8974
21,c1703,20170117,1478,1475,1477,1482,1472,1472,1477,-3,2,1212,17912480,9208
22,c1703,20170118,1472,1477,1476,1500,1474,1500,1486,23,9,1904,28298040,9130
23,c1703,20170119,1500,1486,1500,1506,1498,1499,1501,13,15,1228,18437400,8934
24,c1703,20170120,1499,1501,1502,1506,1492,1502,1499,1,-2,364,5458020,8926
25,c1703,20170123,1502,1499,1502,1510,1495,1506,1504,7,5,550,8275040,8926
26,c1703,20170124,1506,1504,1505,1514,1503,1505,1509,1,5,646,9749140,8564
27,c1703,20170125,1505,1509,1486,1499,1485,1492,1493,-17,-16,1134,16939060,8506
28,c1703,20170126,1492,1493,1505,1510,1493,1495,1496,2,3,1884,28200480,8502
29,c1703,20170203,1495,1496,1495,1505,1493,1505,1499,9,3,562,8429740,8576
30,c1703,20170206,1505,1499,1509,1570,1505,1527,1532,28,33,2558,39197800,8886
31,c1703,20170207,1527,1532,1529,1531,1511,1513,1520,-19,-12,424,6445340,8994
32,c1703,20170208,1513,1520,1508,1519,1508,1516,1512,-4,-8,8174,123611200,9650
33,c1703,20170209,1516,1512,1518,1530,1515,1519,1524,7,12,1186,18077580,9732
34,c1703,20170210,1519,1524,1524,1527,1515,1520,1519,-4,-5,450,6839540,9732
35,c1703,20170213,1520,1519,1530,1530,1519,1524,1522,5,3,700,10656060,9826
36,c1703,20170214,1524,1522,1520,1520,1509,1509,1513,-13,-9,676,10228100,9680
37,c1703,20170215,1509,1513,1506,1515,1506,1506,1510,-7,-3,1992,30089580,9324
38,c1703,20170216,1506,1510,1510,1517,1505,1505,1508,-5,-2,238,3590100,9280
39,c1703,20170217,1505,1508,1510,1510,1501,1503,1502,-5,-6,796,11963660,8748
40,c1703,20170220,1503,1502,1506,1511,1503,1506,1507,4,5,130,1959500,8732
41,c1703,20170221,1506,1507,1512,1517,1505,1508,1511,1,4,362,5471620,8676
42,c1703,20170222,1508,1511,1508,1511,1500,1510,1504,-1,-7,308,4633480,8604
43,c1703,20170223,1510,1504,1506,1516,1499,1500,1502,-4,-2,660,9916020,8512
44,c1703,20170224,1500,1502,1492,1503,1492,1499,1498,-3,-4,340,5094260,8388
45,c1703,20170227,1499,1498,1505,1529,1502,1508,1512,10,14,522,7894660,8202
46,c1703,20170228,1508,1512,1510,1535,1498,1501,1515,-11,3,1498,22697940,7398
47,c1703,20170301,1501,1515,1530,1550,1500,1514,1514,-1,-1,108,1635840,7400
48,c1703,20170302,1514,1514,1505,1505,1505,1505,1505,-9,-9,1700,25585000,4848
49,c1703,20170303,1505,1505,1525,1525,1511,1525,1522,20,17,648,9867600,4208
50,c1703,20170306,1525,1522,0,0,0,1522,1522,0,0,0,0,4208
51,c1703,20170307,1522,1522,1592,1593,1431,1500,1526,-22,4,388,5921040,3840
52,c1703,20170308,1500,1526,1580,1580,1580,1580,1580,54,54,4,63200,3840
53,c1703,20170309,1580,1580,0,0,0,1580,1580,0,0,0,0,880
54,c1703,20170310,1580,1580,1600,1600,1600,1600,1600,20,20,200,3200000,880
55,c1703,20170313,1600,1600,0,0,0,1600,1600,0,0,0,0,880
56,c1703,20170314,1600,1600,0,0,0,1518,1518,-82,-82,0,0,0
57,c1705,20170103,1519,1519,1518,1530,1514,1519,1521,0,2,926968,14103943680,2084556
58,c1705,20170104,1519,1521,1522,1545,1518,1534,1533,13,12,1608180,24665361100,2223460
59,c1705,20170105,1534,1533,1539,1543,1526,1527,1532,-6,-1,843106,12921176040,2229226
60,c1705,20170106,1527,1532,1529,1537,1506,1515,1522,-17,-10,1406662,21410244020,2266618
61,c1705,20170109,1515,1522,1513,1517,1501,1508,1508,-14,-14,902174,13612358440,2333308
62,c1705,20170110,1508,1508,1510,1516,1498,1503,1507,-5,-1,948046,14288147120,2414014
63,c1705,20170111,1503,1507,1506,1514,1503,1507,1509,0,2,981004,14804191700,2501116
64,c1705,20170112,1507,1509,1508,1515,1499,1508,1506,-1,-3,1133218,17072375500,2485608
65,c1705,20170113,1508,1506,1512,1526,1511,1513,1517,7,11,1166318,17699958500,2471028
66,c1705,20170116,1513,1517,1518,1532,1517,1529,1526,12,9,1139582,17398072560,2523402
67,c1705,20170117,1529,1526,1530,1539,1521,1524,1530,-2,4,974562,14911709280,2477628
68,c1705,20170118,1524,1530,1528,1565,1526,1562,1545,32,15,2104924,32522257080,2738830
69,c1705,20170119,1562,1545,1562,1574,1554,1558,1562,13,17,2059418,32187903840,2786890
70,c1705,20170120,1558,1562,1558,1569,1549,1564,1558,2,-4,1326494,20677421420,2711350
71,c1705,20170123,1564,1558,1567,1578,1560,1573,1568,15,10,1089490,17093226740,2705688
72,c1705,20170124,1573,1568,1573,1582,1557,1560,1570,-8,2,1422634,22346387000,2558454
73,c1705,20170125,1560,1570,1558,1558,1547,1556,1552,-14,-18,788424,12243348400,2458008
74,c1705,20170126,1556,1552,1560,1565,1554,1560,1559,8,7,325324,5071913040,2411414
75,c1705,20170203,1560,1559,1558,1575,1558,1573,1567,14,8,756736,11863715300,2462782
76,c1705,20170206,1573,1567,1578,1632,1577,1600,1603,33,36,3723882,59706804560,3229440
77,c1705,20170207,1600,1603,1600,1606,1588,1589,1594,-14,-9,2002418,31920928260,3391294
78,c1705,20170208,1589,1594,1594,1609,1591,1602,1600,8,6,1977856,31663061260,3520522
79,c1705,20170209,1602,1600,1607,1620,1595,1602,1608,2,8,2479128,39878169000,3459868
80,c1705,20170210,1602,1608,1600,1612,1589,1605,1602,-3,-6,1635212,26203404580,3420196
81,c1705,20170213,1605,1602,1613,1621,1600,1604,1611,2,9,1847450,29765511680,3432252
82,c1705,20170214,1604,1611,1605,1608,1572,1574,1587,-37,-24,2302814,36546975540,3300192
83,c1705,20170215,1574,1587,1570,1581,1562,1562,1572,-25,-15,1352322,21270548480,3230292
84,c1705,20170216,1562,1572,1573,1584,1565,1572,1576,0,4,1819206,28686091200,3136530
85,c1705,20170217,1572,1576,1569,1575,1553,1566,1562,-10,-14,1429908,22349184460,2996954
86,c1705,20170220,1566,1562,1566,1586,1563,1583,1578,21,16,1225614,19344228240,3043192
87,c1705,20170221,1583,1578,1585,1604,1583,1586,1594,8,16,1990974,31744328960,2763674
88,c1705,20170222,1586,1594,1584,1599,1581,1598,1590,4,-4,1167748,18572390680,2705756
89,c1705,20170223,1598,1590,1598,1604,1575,1584,1589,-6,-1,1429178,22716086280,2636254
90,c1705,20170224,1584,1589,1575,1592,1569,1591,1580,2,-9,1378056,21775390740,2571902
91,c1705,20170227,1591,1580,1596,1607,1595,1604,1602,24,22,1515486,24280036000,2567966
92,c1705,20170228,1604,1602,1605,1614,1597,1603,1605,1,3,1323872,21249361840,2487278
93,c1705,20170301,1603,1605,1608,1613,1593,1603,1601,-2,-4,1304060,20887525960,2507070
94,c1705,20170302,1603,1601,1610,1619,1607,1608,1612,7,11,1118680,18042587140,2489524
95,c1705,20170303,1608,1612,1605,1626,1599,1626,1612,14,0,1104322,17810255740,2451190
96,c1705,20170306,1626,1612,1630,1654,1630,1648,1645,36,33,2156384,35473161880,2348336
97,c1705,20170307,1648,1645,1648,1654,1637,1644,1644,-1,-1,1272466,20924024920,2181080
98,c1705,20170308,1644,1644,1638,1642,1621,1626,1632,-18,-12,1523890,24876892060,2016574
99,c1705,20170309,1626,1632,1624,1629,1601,1609,1611,-23,-21,1865654,30070674560,1872286
100,c1705,20170310,1609,1611,1605,1609,1586,1587,1596,-24,-15,1226896,19587866720,1711708
101,c1705,20170313,1587,1596,1580,1595,1577,1592,1587,-4,-9,698202,11086180460,1615668
102,c1705,20170314,1592,1587,1590,1597,1565,1565,1585,-22,-2,915780,14520639900,1545090
103,c1705,20170315,1565,1585,1575,1580,1568,1576,1574,-9,-11,539626,8495917560,1504480
104,c1705,20170316,1576,1574,1577,1585,1565,1575,1574,1,0,553354,8714270640,1428364
105,c1705,20170317,1575,1574,1575,1579,1570,1578,1575,4,1,331812,5226074300,1370408
106,c1705,20170320,1578,1575,1589,1599,1582,1597,1589,22,14,581764,9250012420,1271054
107,c1705,20170321,1597,1589,1592,1602,1591,1600,1596,11,7,376932,6018655420,1235474
108,c1705,20170322,1600,1596,1599,1627,1598,1625,1614,29,18,641828,10362433260,1122672
109,c1705,20170323,1625,1614,1625,1633,1606,1612,1617,-2,3,428338,6928500080,1056050
110,c1705,20170324,1612,1617,1613,1635,1609,1629,1621,12,4,415536,6738921520,1001198
111,c1705,20170327,1629,1621,1637,1649,1619,1636,1634,15,13,505850,8270151940,879702
112,c1705,20170328,1636,1634,1639,1646,1627,1643,1636,9,2,380170,6219590560,825124
113,c1705,20170329,1643,1636,1640,1643,1602,1612,1619,-24,-17,434420,7036452220,740548
114,c1705,20170330,1612,1619,1613,1617,1603,1607,1608,-12,-11,194352,3126064080,698672
115,c1705,20170331,1607,1608,1607,1620,1600,1616,1613,8,5,228810,3690760160,634234
116,c1705,20170405,1616,1613,1622,1631,1610,1630,1621,17,8,173068,2806206280,592892
117,c1705,20170406,1630,1621,1630,1636,1610,1634,1625,13,4,299270,4863247720,502714
118,c1705,20170407,1634,1625,1629,1640,1617,1620,1627,-5,2,202412,3293362560,448834
119,c1705,20170410,1620,1627,1625,1635,1615,1629,1625,2,-2,110424,1795398820,426096
120,c1705,20170411,1629,1625,1633,1639,1602,1606,1616,-19,-9,203272,3286251580,341438
121,c1705,20170412,1606,1616,1606,1610,1600,1603,1604,-13,-12,81990,1315703440,313864
122,c1705,20170413,1603,1604,1603,1608,1595,1602,1601,-2,-3,88278,1414047060,294864
123,c1705,20170414,1602,1601,1603,1605,1597,1605,1601,4,0,42360,678378740,279262
124,c1705,20170417,1605,1601,1606,1614,1604,1612,1609,11,8,55054,886350020,269958
125,c1705,20170418,1612,1609,1612,1615,1605,1607,1609,-2,0,52528,845264100,251820
126,c1705,20170419,1607,1609,1608,1608,1586,1594,1594,-15,-15,52192,832318440,239826
127,c1705,20170420,1594,1594,1591,1605,1591,1604,1599,10,5,28840,461413800,228840
128,c1705,20170421,1604,1599,1601,1632,1601,1631,1618,32,19,55750,902548140,210358
129,c1705,20170424,1631,1618,1626,1631,1621,1622,1625,4,7,31882,518314100,193432
130,c1705,20170425,1622,1625,1625,1627,1614,1618,1619,-7,-6,34626,560825940,179602
131,c1705,20170426,1618,1619,1623,1626,1617,1622,1622,3,3,28976,470262440,159472
132,c1705,20170427,1622,1622,1621,1621,1611,1617,1615,-5,-7,46598,752697620,133826
133,c1705,20170428,1617,1615,1615,1622,1614,1621,1618,6,3,27326,442199940,110764
134,c1705,20170502,1621,1618,1640,1640,1612,1631,1637,13,19,10704,175296140,21684
135,c1705,20170503,1631,1637,1639,1642,1621,1638,1638,1,1,8940,146488840,13058
136,c1705,20170504,1638,1638,1642,1650,1635,1648,1643,10,5,8704,143023520,8916
137,c1705,20170505,1648,1643,1630,1644,1630,1640,1640,-3,-3,2526,41437080,8666
138,c1705,20170508,1640,1640,1650,1650,1631,1631,1643,-9,3,442,7265640,7712
139,c1705,20170509,1631,1643,1670,1670,1670,1670,1670,27,27,26,434200,7712
140,c1705,20170510,1670,1670,1631,1670,1631,1670,1667,0,-3,508,8469560,7442
141,c1705,20170511,1670,1667,1660,1670,1660,1670,1661,3,-6,1564,25982400,4450
142,c1705,20170512,1670,1661,0,0,0,1661,1661,0,0,0,0,4416
143,c1705,20170515,1661,1661,1597,1710,1597,1710,1641,49,-20,80,1301400,0
144,c1707,20170103,1544,1542,1546,1555,1543,1549,1547,7,5,58,897540,1580
145,c1707,20170104,1549,1547,1555,1564,1555,1558,1559,11,12,14,218300,1576
146,c1707,20170105,1558,1559,1553,1558,1551,1558,1555,-1,-4,20,311000,1572
147,c1707,20170106,1558,1555,1552,1558,1538,1543,1550,-12,-5,34,527120,1560
