ROWNUM,合约,日期,前收盘价,前结算价,开盘价,最高价,最低价,收盘价,结算价,涨跌1,涨跌2,成交量,成交金额,持仓量
1,cs1701,20170103,1762,1756,1794,1803,1743,1796,1791,40,35,794,14222060,5236
2,cs1701,20170104,1796,1791,1790,1828,1790,1823,1818,32,27,1546,28121080,4218
3,cs1701,20170105,1823,1818,1820,1821,1807,1811,1813,-7,-5,920,16683920,3658
4,cs1701,20170106,1811,1813,1751,1751,1746,1746,1746,-67,-67,240,4192400,3418
5,cs1701,20170109,1746,1746,0,0,0,1750,1750,4,4,0,0,3418
6,cs1701,20170110,1750,1750,0,0,0,1750,1750,0,0,0,0,3418
7,cs1701,20170111,1750,1750,1750,1750,1750,1750,1750,0,0,324,5670000,3154
8,cs1701,20170112,1750,1750,0,0,0,1750,1750,0,0,0,0,3154
9,cs1701,20170113,1750,1750,0,0,0,1757,1757,7,7,0,0,3154
10,cs1701,20170116,1757,1757,1855,1859,1855,1859,1802,102,45,56,1039900,0
11,cs1703,20170103,1818,1818,1788,1788,1788,1788,1788,-30,-30,2,35760,102
12,cs1703,20170104,1788,1788,1809,1810,1809,1810,1809,22,21,4,72380,102
13,cs1703,20170105,1810,1809,1828,1828,1828,1828,1828,19,19,2,36560,104
14,cs1703,20170106,1828,1828,1818,1818,1818,1818,1818,-10,-10,2,36360,102
15,cs1703,20170109,1818,1818,0,0,0,1818,1818,0,0,0,0,102
16,cs1703,20170110,1818,1818,0,0,0,1818,1818,0,0,0,0,102
17,cs1703,20170111,1818,1818,0,0,0,1818,1818,0,0,0,0,102
18,cs1703,20170112,1818,1818,1816,1816,1777,1780,1779,-38,-39,122,2170900,102
19,cs1703,20170113,1780,1779,1810,1810,1810,1810,1810,31,31,2,36200,104
20,cs1703,20170116,1810,1810,1822,1899,1822,1845,1845,35,35,42,775180,88
21,cs1703,20170117,1845,1845,1851,1851,1840,1840,1845,-5,0,18,332140,80
22,cs1703,20170118,1840,1845,1850,1850,1850,1850,1850,5,5,20,370000,80
23,cs1703,20170119,1850,1850,1860,1860,1823,1823,1851,-27,1,32,592380,88
24,cs1703,20170120,1823,1851,1829,1830,1769,1804,1801,-47,-50,106,1910100,84
25,cs1703,20170123,1804,1801,1801,1801,1799,1799,1800,-2,-1,4,72000,82
26,cs1703,20170124,1799,1800,0,0,0,1800,1800,0,0,0,0,82
27,cs1703,20170125,1800,1800,1800,1800,1800,1800,1800,0,0,2,36000,82
28,cs1703,20170126,1800,1800,1676,1818,1676,1818,1773,18,-27,22,390120,78
29,cs1703,20170203,1818,1773,1802,1802,1802,1802,1802,29,29,8,144160,80
30,cs1703,20170206,1802,1802,1803,1820,1800,1815,1808,13,6,14,253180,88
31,cs1703,20170207,1815,1808,1809,1809,1770,1798,1789,-10,-19,8,143120,86
32,cs1703,20170208,1798,1789,1790,1790,1790,1790,1790,1,1,2,35800,86
33,cs1703,20170209,1790,1790,1773,1789,1773,1789,1780,-1,-10,6,106820,82
34,cs1703,20170210,1789,1780,1754,1755,1753,1754,1754,-26,-26,30,526240,70
35,cs1703,20170213,1754,1754,1765,1780,1750,1765,1765,11,11,24,423700,66
36,cs1703,20170214,1765,1765,1720,1767,1720,1767,1744,2,-21,24,418760,64
37,cs1703,20170215,1767,1744,1726,1732,1726,1730,1726,-14,-18,22,379920,60
38,cs1703,20170216,1730,1726,0,0,0,1726,1726,0,0,0,0,60
39,cs1703,20170217,1726,1726,1721,1760,1720,1722,1733,-4,7,34,589540,56
40,cs1703,20170220,1722,1733,1726,1780,1726,1747,1749,14,16,18,314980,56
41,cs1703,20170221,1747,1749,1743,1751,1743,1751,1746,2,-3,6,104780,50
42,cs1703,20170222,1751,1746,1776,1780,1676,1777,1767,31,21,80,1413660,56
43,cs1703,20170223,1777,1767,1767,1818,1723,1755,1765,-12,-2,14,247160,50
44,cs1703,20170224,1755,1765,1713,1713,1713,1713,1713,-52,-52,2,34260,50
