"   ","合约","日期","前收盘价","前结算价","开盘价","最高价","最低价","收盘价","结算价","涨跌1","涨跌2","成交量","成交金额","持仓量"
"1","fb1404","20131206","0.00","75.00","75.00","76.00","72.20","72.50","74.15","-2.50","-0.85","54","2002200.00","2"
"2","fb1404","20131209","72.5","74.15","72.80","75.80","72.25","75.75","74.35","1.60","0.20","34","1264550.00","4"
"3","fb1404","20131210","75.75","74.35","74.65","74.65","72.85","73.40","73.70","-0.95","-0.65","88","3244000.00","6"
"4","fb1404","20131211","73.4","73.70","73.85","73.85","72.95","72.95","73.40","-0.75","-0.30","16","587200.00","6"
"5","fb1404","20131212","72.95","73.40","75.85","76.30","74.45","75.80","75.60","2.40","2.20","44","1664150.00","8"
"6","fb1404","20131213","75.8","75.60","75.25","75.25","74.80","75.25","75.00","-0.35","-0.60","10","375050.00","8"
"7","fb1404","20131216","75.25","75.00","74.20","74.20","74.20","74.20","74.20","-0.80","-0.80","6","222600.00","6"
"8","fb1404","20131217","74.2","74.20","74.95","75.50","74.95","75.50","75.20","1.30","1.00","8","300850.00","6"
"9","fb1404","20131218","75.5","75.20","0.00","0.00","0.00","74.50","74.50","-0.70","-0.70","0","0.00","6"
"10","fb1404","20131219","74.5","74.50","73.35","73.35","73.05","73.05","73.15","-1.45","-1.35","6","219450.00","4"
"11","fb1404","20131220","73.05","73.15","74.05","74.05","73.50","73.55","73.80","0.40","0.65","18","664200.00","4"
"12","fb1404","20131223","73.55","73.80","74.00","74.85","73.80","74.85","74.20","1.05","0.40","6","222650.00","6"
"13","fb1404","20131224","74.85","74.20","75.25","75.25","75.25","75.25","75.25","1.05","1.05","2","75250.00","4"
"14","fb1404","20131225","75.25","75.25","0.00","0.00","0.00","75.25","75.25","0.00","0.00","0","0.00","4"
"15","fb1404","20131226","75.25","75.25","74.20","74.20","72.25","72.25","73.20","-3.00","-2.05","6","219600.00","6"
"16","fb1404","20131227","72.25","73.20","71.85","71.85","71.85","71.85","71.85","-1.35","-1.35","2","71850.00","4"
"17","fb1404","20131230","71.85","71.85","71.20","72.15","70.10","70.20","71.15","-1.65","-0.70","26","925350.00","4"
"18","fb1404","20131231","70.2","71.15","0.00","0.00","0.00","70.45","70.45","-0.70","-0.70","0","0.00","4"
"19","fb1405","20131206","0.00","76.00","74.80","74.95","71.80","72.05","73.15","-3.95","-2.85","102076","3734558750.00","10462"
"20","fb1405","20131209","72.05","73.15","71.50","76.05","71.40","74.15","74.40","1.00","1.25","381842","14208955700.00","27074"
"21","fb1405","20131210","74.15","74.40","73.95","74.85","72.30","72.60","73.50","-1.80","-0.90","429364","15786167350.00","37456"
"22","fb1405","20131211","72.6","73.50","72.60","73.50","72.35","73.40","72.90","-0.10","-0.60","257088","9377093000.00","35208"
"23","fb1405","20131212","73.4","72.90","73.50","75.80","73.30","75.35","75.15","2.45","2.25","407892","15331439300.00","40950"
"24","fb1405","20131213","75.35","75.15","75.15","75.85","73.80","74.80","74.80","-0.35","-0.35","461736","17272264300.00","42202"
"25","fb1405","20131216","74.8","74.80","74.90","75.65","73.60","74.70","74.45","-0.10","-0.35","273528","10183630500.00","40610"
"26","fb1405","20131217","74.7","74.45","74.90","75.35","74.20","74.20","74.65","-0.25","0.20","200904","7499169650.00","37974"
"27","fb1405","20131218","74.2","74.65","74.00","74.40","72.95","73.60","73.60","-1.05","-1.05","186512","6867560300.00","33076"
"28","fb1405","20131219","73.6","73.60","73.60","73.85","72.75","72.95","73.25","-0.65","-0.35","128378","4702813350.00","30656"
"29","fb1405","20131220","72.95","73.25","72.95","73.65","72.60","73.30","73.10","0.05","-0.15","100588","3677576900.00","32320"
"30","fb1405","20131223","73.3","73.10","73.10","75.70","72.85","74.80","74.75","1.70","1.65","352236","13165155450.00","49832"
"31","fb1405","20131224","74.8","74.75","75.00","75.35","74.25","74.55","74.80","-0.20","0.05","211864","7926074150.00","38586"
"32","fb1405","20131225","74.55","74.80","74.55","75.10","74.05","74.20","74.65","-0.60","-0.15","143258","5347814600.00","33922"
"33","fb1405","20131226","74.2","74.65","74.25","74.30","71.70","71.70","72.40","-2.95","-2.25","267836","9695764700.00","56458"
"34","fb1405","20131227","71.7","72.40","71.50","73.05","71.40","72.50","72.15","0.10","-0.25","289764","10457025200.00","43006"
"35","fb1405","20131230","72.5","72.15","72.10","72.30","69.35","70.90","70.65","-1.25","-1.50","366680","12960211800.00","45910"
"36","fb1405","20131231","70.9","70.65","70.70","70.85","69.60","69.85","70.25","-0.80","-0.40","185018","6499616200.00","50708"
