ROWNUM,合约,日期,前收盘价,前结算价,开盘价,最高价,最低价,收盘价,结算价,涨跌1,涨跌2,成交量,成交金额,持仓量
1,fb1701,20170103,71.6,71.6,75.85,75.85,75.85,75.85,75.85,4.25,4.25,2,75850,0
2,fb1701,20170104,75.85,75.85,0,0,0,75.85,75.85,0,0,0,0,0
3,fb1701,20170105,75.85,75.85,0,0,0,75.85,75.85,0,0,0,0,0
4,fb1701,20170106,75.85,75.85,0,0,0,75.85,75.85,0,0,0,0,0
5,fb1701,20170109,75.85,75.85,0,0,0,75.85,75.85,0,0,0,0,0
6,fb1701,20170110,75.85,75.85,0,0,0,75.85,75.85,0,0,0,0,0
7,fb1701,20170111,75.85,75.85,0,0,0,75.85,75.85,0,0,0,0,0
8,fb1701,20170112,75.85,75.85,0,0,0,75.85,75.85,0,0,0,0,0
9,fb1701,20170113,75.85,75.85,0,0,0,75.85,75.85,0,0,0,0,0
10,fb1701,20170116,75.85,75.85,0,0,0,75.85,75.85,0,0,0,0,0
11,fb1702,20170103,64.75,64.5,0,0,0,64.5,64.5,0,0,0,0,16
12,fb1702,20170104,64.5,64.5,63,64.5,63,64.5,63.75,0,-0.75,4,127500,16
13,fb1702,20170105,64.5,63.75,63.95,63.95,63.95,63.95,63.95,0.2,0.2,2,63950,16
14,fb1702,20170106,63.95,63.95,0,0,0,63.95,63.95,0,0,0,0,16
15,fb1702,20170109,63.95,63.95,0,0,0,64,64,0.05,0.05,0,0,16
16,fb1702,20170110,64,64,64,67.2,64,67.2,66.65,3.2,2.65,12,399950,14
17,fb1702,20170111,67.2,66.65,0,0,0,66.65,66.65,0,0,0,0,14
18,fb1702,20170112,66.65,66.65,0,0,0,67.5,67.5,0.85,0.85,0,0,14
19,fb1702,20170113,67.5,67.5,0,0,0,65.5,65.5,-2,-2,0,0,14
20,fb1702,20170116,65.5,65.5,0,0,0,65.5,65.5,0,0,0,0,14
21,fb1702,20170117,65.5,65.5,65.15,65.15,65.15,65.15,65.15,-0.35,-0.35,2,65150,14
22,fb1702,20170118,65.15,65.15,68.4,68.4,61.95,68.35,66.8,3.2,1.65,32,1069450,12
23,fb1702,20170119,68.35,66.8,70.1,70.1,66.15,66.15,69.3,-0.65,2.5,10,346550,16
24,fb1702,20170120,66.15,69.3,68.1,72.45,67.05,69.95,69.6,0.65,0.3,18,626450,16
25,fb1702,20170123,69.95,69.6,69.8,73.05,69.8,72,71.8,2.4,2.2,18,646550,12
26,fb1702,20170124,72,71.8,75,75,70,74.9,72.4,3.1,0.6,26,941800,10
27,fb1702,20170125,74.9,72.4,70.05,76,70.05,76,73.9,3.6,1.5,16,591350,4
28,fb1702,20170126,76,73.9,77.55,77.55,70.3,77,75.35,3.1,1.45,24,904700,2
29,fb1702,20170203,77,75.35,0,0,0,75.35,75.35,0,0,0,0,2
30,fb1702,20170206,75.35,75.35,75,75,75,75,75,-0.35,-0.35,2,75000,2
31,fb1702,20170207,75,75,0,0,0,75,75,0,0,0,0,2
32,fb1702,20170208,75,75,0,0,0,75,75,0,0,0,0,2
33,fb1702,20170209,75,75,0,0,0,79.5,79.5,4.5,4.5,0,0,2
34,fb1702,20170210,79.5,79.5,86.65,86.65,86.65,86.65,86.65,7.15,7.15,2,86650,0
35,fb1702,20170213,86.65,86.65,0,0,0,86.65,86.65,0,0,0,0,0
36,fb1702,20170214,86.65,86.65,0,0,0,86.65,86.65,0,0,0,0,0
37,fb1702,20170215,86.65,86.65,0,0,0,86.65,86.65,0,0,0,0,0
38,fb1702,20170216,86.65,86.65,0,0,0,80.8,80.8,-5.85,-5.85,0,0,0
39,fb1703,20170103,61.55,61.55,0,0,0,65.2,65.2,3.65,3.65,0,0,0
40,fb1703,20170104,65.2,65.2,0,0,0,64.45,64.45,-0.75,-0.75,0,0,0
41,fb1703,20170105,64.45,64.45,0,0,0,64.65,64.65,0.2,0.2,0,0,0
42,fb1703,20170106,64.65,64.65,0,0,0,64.65,64.65,0,0,0,0,0
43,fb1703,20170109,64.65,64.65,0,0,0,64.65,64.65,0,0,0,0,0
44,fb1703,20170110,64.65,64.65,0,0,0,67.3,67.3,2.65,2.65,0,0,0
45,fb1703,20170111,67.3,67.3,0,0,0,67.3,67.3,0,0,0,0,0
46,fb1703,20170112,67.3,67.3,0,0,0,67.3,67.3,0,0,0,0,0
47,fb1703,20170113,67.3,67.3,0,0,0,67.3,67.3,0,0,0,0,0
48,fb1703,20170116,67.3,67.3,0,0,0,67.3,67.3,0,0,0,0,0
49,fb1703,20170117,67.3,67.3,0,0,0,66.95,66.95,-0.35,-0.35,0,0,0
50,fb1703,20170118,66.95,66.95,0,0,0,68.6,68.6,1.65,1.65,0,0,0
51,fb1703,20170119,68.6,68.6,0,0,0,71.15,71.15,2.55,2.55,0,0,0
52,fb1703,20170120,71.15,71.15,0,0,0,71.45,71.45,0.3,0.3,0,0,0
53,fb1703,20170123,71.45,71.45,0,0,0,73.7,73.7,2.25,2.25,0,0,0
54,fb1703,20170124,73.7,73.7,0,0,0,74.3,74.3,0.6,0.6,0,0,0
55,fb1703,20170125,74.3,74.3,0,0,0,75.8,75.8,1.5,1.5,0,0,0
56,fb1703,20170126,75.8,75.8,0,0,0,77.25,77.25,1.45,1.45,0,0,0
57,fb1703,20170203,77.25,77.25,0,0,0,77.25,77.25,0,0,0,0,0
58,fb1703,20170206,77.25,77.25,0,0,0,76.9,76.9,-0.35,-0.35,0,0,0
59,fb1703,20170207,76.9,76.9,0,0,0,76.9,76.9,0,0,0,0,0
60,fb1703,20170208,76.9,76.9,0,0,0,76.9,76.9,0,0,0,0,0
61,fb1703,20170209,76.9,76.9,0,0,0,76.9,76.9,0,0,0,0,0
62,fb1703,20170210,76.9,76.9,0,0,0,83.05,83.05,6.15,6.15,0,0,0
63,fb1703,20170213,83.05,83.05,0,0,0,83.05,83.05,0,0,0,0,0
64,fb1703,20170214,83.05,83.05,0,0,0,83.05,83.05,0,0,0,0,0
65,fb1703,20170215,83.05,83.05,0,0,0,83.05,83.05,0,0,0,0,0
66,fb1703,20170216,83.05,83.05,0,0,0,83.05,83.05,0,0,0,0,0
67,fb1703,20170217,83.05,83.05,0,0,0,83.05,83.05,0,0,0,0,0
