"   ","合约","日期","前收盘价","前结算价","开盘价","最高价","最低价","收盘价","结算价","涨跌1","涨跌2","成交量","成交金额","持仓量"
"1","i1403","20131018","0.00","950.00","974.00","994.00","971.00","986.00","985.00","36.00","35.00","25394","2501348600.00","7604"
"2","i1403","20131021","986","985.00","988.00","988.00","975.00","980.00","980.00","-5.00","-5.00","4876","478088400.00","6096"
"3","i1403","20131022","980","980.00","971.00","977.00","963.00","963.00","967.00","-17.00","-13.00","4078","394707000.00","5038"
"4","i1403","20131023","963","967.00","963.00","966.00","950.00","951.00","956.00","-16.00","-11.00","2668","255221800.00","3920"
"5","i1403","20131024","951","956.00","948.00","948.00","929.00","936.00","938.00","-20.00","-18.00","3522","330628400.00","4286"
"6","i1403","20131025","936","938.00","939.00","942.00","930.00","931.00","935.00","-7.00","-3.00","1962","183592000.00","3290"
"7","i1403","20131028","931","935.00","932.00","940.00","930.00","937.00","936.00","2.00","1.00","526","49261200.00","3202"
"8","i1403","20131029","937","936.00","934.00","936.00","931.00","933.00","932.00","-3.00","-4.00","624","58183800.00","3066"
"9","i1403","20131030","933","932.00","935.00","938.00","930.00","932.00","933.00","0.00","1.00","716","66830200.00","2788"
"10","i1403","20131031","932","933.00","933.00","936.00","932.00","934.00","934.00","1.00","1.00","584","54547800.00","2462"
"11","i1403","20131101","934","934.00","934.00","960.00","934.00","950.00","952.00","16.00","18.00","1738","165611800.00","3082"
"12","i1403","20131104","950","952.00","945.00","961.00","945.00","956.00","955.00","4.00","3.00","458","43747400.00","3014"
"13","i1403","20131105","956","955.00","955.00","959.00","952.00","953.00","953.00","-2.00","-2.00","128","12209600.00","2930"
"14","i1403","20131106","953","953.00","954.00","954.00","951.00","953.00","953.00","0.00","0.00","156","14867800.00","2926"
"15","i1403","20131107","953","953.00","952.00","955.00","948.00","952.00","951.00","-1.00","-2.00","50","4757600.00","2900"
"16","i1403","20131108","952","951.00","955.00","955.00","947.00","950.00","949.00","-1.00","-2.00","496","47104800.00","2456"
"17","i1403","20131111","950","949.00","946.00","953.00","945.00","953.00","950.00","4.00","1.00","204","19383000.00","2364"
"18","i1403","20131112","953","950.00","952.00","955.00","950.00","954.00","952.00","4.00","2.00","154","14663600.00","2270"
"19","i1403","20131113","954","952.00","955.00","962.00","954.00","954.00","957.00","2.00","5.00","114","10913000.00","2186"
"20","i1403","20131114","954","957.00","951.00","955.00","948.00","948.00","953.00","-9.00","-4.00","72","6861800.00","2140"
"21","i1403","20131115","948","953.00","951.00","955.00","950.00","952.00","951.00","-1.00","-2.00","478","45484000.00","1922"
"22","i1403","20131118","952","951.00","949.00","956.00","948.00","956.00","953.00","5.00","2.00","102","9724000.00","1896"
"23","i1403","20131119","956","953.00","956.00","958.00","955.00","958.00","957.00","5.00","4.00","24","2297000.00","1892"
"24","i1403","20131120","958","957.00","965.00","966.00","957.00","957.00","960.00","0.00","3.00","58","5571800.00","1842"
"25","i1403","20131121","957","960.00","956.00","958.00","955.00","956.00","956.00","-4.00","-4.00","38","3633000.00","1826"
"26","i1403","20131122","956","956.00","960.00","960.00","956.00","956.00","957.00","0.00","1.00","14","1341000.00","1826"
"27","i1403","20131125","956","957.00","959.00","960.00","956.00","956.00","957.00","-1.00","0.00","194","18580000.00","1726"
"28","i1403","20131126","956","957.00","964.00","964.00","960.00","964.00","963.00","7.00","6.00","24","2311400.00","1722"
"29","i1403","20131127","964","963.00","957.00","961.00","957.00","959.00","959.00","-4.00","-4.00","18","1726200.00","1708"
