ROWNUM,合约,日期,前收盘价,前结算价,开盘价,最高价,最低价,收盘价,结算价,涨跌1,涨跌2,成交量,成交金额,持仓量
1,i1701,20170103,668,652,669,670,602.5,655,665,3,13,840,55885400,4470
2,i1701,20170104,655,665,655,660,654,660,655.5,-5,-9.5,88,5770500,4386
3,i1701,20170105,660,655.5,659,660,657.5,660,658.5,4.5,3,34,2239800,4356
4,i1701,20170106,660,658.5,655,669,655,669,666.5,10.5,8,50,3333500,4312
5,i1701,20170109,669,666.5,667,667,667,667,667,0.5,0.5,20,1334000,4292
6,i1701,20170110,667,667,667,683,656.5,683,676,16,9,60,4057600,4300
7,i1701,20170111,683,676,685,685,654.5,657,670.5,-19,-5.5,32,2146100,4280
8,i1701,20170112,657,670.5,679.5,685,679.5,685,682.5,14.5,12,20,1365300,4262
9,i1701,20170113,685,682.5,700,700,700,700,700,17.5,17.5,2,140000,4260
10,i1701,20170116,700,700,749,750,680,690,668,-10,-32,82,5761700,0
11,i1702,20170103,624,625.5,636.5,636.5,610,610,623.5,-15.5,-2,48,2994700,166
12,i1702,20170104,610,623.5,607,627,606.5,627,610.5,3.5,-13,18,1099500,152
13,i1702,20170105,627,610.5,624,624,612,620,618,9.5,7.5,68,4202500,116
14,i1702,20170106,620,618,622,626,622,626,624,8,6,12,748800,104
15,i1702,20170109,626,624,619,628,619,628,622,4,-2,16,995200,98
16,i1702,20170110,628,622,624.5,657,624.5,657,635,35,13,20,1270800,92
17,i1702,20170111,657,635,645,645,632,632,638.5,-3,3.5,4,255400,90
18,i1702,20170112,632,638.5,642,644.5,641.5,644.5,643,6,4.5,16,1029100,82
19,i1702,20170113,644.5,643,659,659,655,659,658.5,16,15.5,46,3029800,76
20,i1702,20170116,659,658.5,659,705.5,659,689,668,30.5,9.5,42,2805600,44
21,i1702,20170117,689,668,0,0,0,668,668,0,0,0,0,44
22,i1702,20170118,668,668,635,663,635,663,649,-5,-19,4,259600,42
23,i1702,20170119,663,649,622,659.5,621,659.5,643.5,10.5,-5.5,10,643800,38
24,i1702,20170120,659.5,643.5,668,675,636,636,660,-7.5,16.5,80,5281900,34
25,i1702,20170123,636,660,634,634,620,632,628,-28,-32,10,628400,24
26,i1702,20170124,632,628,638,640,612,640,632,12,4,8,505600,20
27,i1702,20170125,640,632,639,639,586,600,608,-32,-24,6,365000,18
28,i1702,20170126,600,608,630,668,630,668,662,60,54,22,1457200,14
29,i1702,20170203,668,662,747,748,576,576,721,-86,59,18,1298200,0
30,i1702,20170206,576,721,0,0,0,721,721,0,0,0,0,0
31,i1702,20170207,721,721,0,0,0,721,721,0,0,0,0,0
32,i1702,20170208,721,721,0,0,0,721,721,0,0,0,0,0
33,i1702,20170209,721,721,0,0,0,721,721,0,0,0,0,0
34,i1702,20170210,721,721,0,0,0,721,721,0,0,0,0,0
35,i1702,20170213,721,721,0,0,0,721,721,0,0,0,0,0
36,i1702,20170214,721,721,0,0,0,721,721,0,0,0,0,0
37,i1702,20170215,721,721,0,0,0,721,721,0,0,0,0,0
38,i1702,20170216,721,721,0,0,0,721,721,0,0,0,0,0
39,i1703,20170103,604.5,604.5,590,590,590,590,590,-14.5,-14.5,2,118000,56
40,i1703,20170104,590,590,586,587.5,567.5,587.5,583,-2.5,-7,14,816500,50
41,i1703,20170105,587.5,583,0,0,0,583,583,0,0,0,0,50
42,i1703,20170106,583,583,0,0,0,583,583,0,0,0,0,50
43,i1703,20170109,583,583,0,0,0,583,583,0,0,0,0,50
44,i1703,20170110,583,583,625,625,623.5,624.5,624,41.5,41,12,749200,46
45,i1703,20170111,624.5,624,0,0,0,624,624,0,0,0,0,46
46,i1703,20170112,624,624,624.5,630,624.5,630,627,6,3,4,250900,48
47,i1703,20170113,630,627,0,0,0,627,627,0,0,0,0,48
48,i1703,20170116,627,627,644.5,674.5,644.5,655,660.5,28,33.5,164,10839400,90
49,i1703,20170117,655,660.5,646,672,645,647.5,653,-13,-7.5,70,4571800,42
50,i1703,20170118,647.5,653,676,676,654,654,665,1,12,4,266000,42
51,i1703,20170119,654,665,0,0,0,665,665,0,0,0,0,42
52,i1703,20170120,665,665,0,0,0,682,682,17,17,0,0,42
53,i1703,20170123,682,682,627.5,627.5,627.5,627.5,627.5,-54.5,-54.5,8,502000,46
54,i1703,20170124,627.5,627.5,613.5,643,613.5,643,633.5,15.5,6,22,1394700,54
