"   ","合约","日期","前收盘价","前结算价","开盘价","最高价","最低价","收盘价","结算价","涨跌1","涨跌2","成交量","成交金额","持仓量"
"1","j1301","20130104","1559.00","1559.00","1614.00","1618.00","1614.00","1618.00","1617.00","59.00","58.00","42","6793000.00","600"
"2","j1301","20130107","1618.00","1617.00","1576.00","1680.00","1576.00","1680.00","1670.00","63.00","53.00","22","3675200.00","600"
"3","j1301","20130108","1680.00","1670.00","0.00","0.00","0.00","1670.00","1670.00","0.00","0.00","0","0.00","600"
"4","j1301","20130109","1670.00","1670.00","1760.00","1760.00","1760.00","1760.00","1760.00","90.00","90.00","20","3520000.00","600"
"5","j1301","20130110","1760.00","1760.00","1680.00","1680.00","1680.00","1680.00","1680.00","-80.00","-80.00","20","3360000.00","600"
"6","j1301","20130111","1680.00","1680.00","1685.00","1685.00","1685.00","1685.00","1685.00","5.00","5.00","20","3370000.00","600"
"7","j1301","20130114","1685.00","1685.00","0.00","0.00","0.00","1685.00","1685.00","0.00","0.00","0","0.00","600"
"8","j1301","20130115","1685.00","1685.00","0.00","0.00","0.00","1685.00","1685.00","0.00","0.00","0","0.00","600"
"9","j1301","20130116","1685.00","1685.00","1680.00","1680.00","1600.00","1600.00","1644.00","-85.00","-41.00","120","19730000.00","600"
"10","j1301","20130117","1600.00","1644.00","1585.00","1630.00","1584.00","1630.00","1625.00","-14.00","-19.00","320","51216000.00","0"
"11","j1302","20130104","1651.00","1651.00","0.00","0.00","0.00","1651.00","1651.00","0.00","0.00","0","0.00","4"
"12","j1302","20130107","1651.00","1651.00","0.00","0.00","0.00","1651.00","1651.00","0.00","0.00","0","0.00","4"
"13","j1302","20130108","1651.00","1651.00","0.00","0.00","0.00","1651.00","1651.00","0.00","0.00","0","0.00","4"
"14","j1302","20130109","1651.00","1651.00","0.00","0.00","0.00","1651.00","1651.00","0.00","0.00","0","0.00","4"
