ROWNUM,合约,日期,前收盘价,前结算价,开盘价,最高价,最低价,收盘价,结算价,涨跌1,涨跌2,成交量,成交金额,持仓量
1,j1701,20170103,2220,2200.5,2150.5,2201,2104,2145,2170.5,-55.5,-30,940,204062100,6202
2,j1701,20170104,2145,2170.5,2116.5,2159,2114,2115,2120,-55.5,-50.5,730,154786100,5910
3,j1701,20170105,2115,2120,2121.5,2121.5,2005,2080,2080.5,-40,-39.5,640,133153100,5554
4,j1701,20170106,2080,2080.5,2045,2126.5,2040.5,2075,2079.5,-5.5,-1,180,37432600,5546
5,j1701,20170109,2075,2079.5,2139,2150,2061,2135,2120.5,55.5,41,238,50474500,5382
6,j1701,20170110,2135,2120.5,2088,2088,2037.5,2037.5,2057.5,-83,-63,1730,355992900,3980
7,j1701,20170111,2037.5,2057.5,2046.5,2047,2004,2006.5,2022,-51,-35.5,882,178350200,3946
8,j1701,20170112,2006.5,2022,2078,2078,2009,2018.5,2035.5,-3.5,13.5,428,87125800,3610
9,j1701,20170113,2018.5,2035.5,2020.5,2021,2000,2006,2012.5,-29.5,-23,472,95012200,3178
10,j1701,20170116,2006,2012.5,2012.5,2080,2012.5,2050,2077,37.5,64.5,64,13196100,0
11,j1702,20170103,2018.5,2018.5,0,0,0,1999,1999,-19.5,-19.5,0,0,24
12,j1702,20170104,1999,1999,1908,2009.5,1905,1954,1953,-45,-46,12,2343700,30
13,j1702,20170105,1954,1953,2030,2030,2030,2030,2030,77,77,4,812000,32
14,j1702,20170106,2030,2030,2027.5,2027.5,2027,2027,2027,-3,-3,4,810900,30
15,j1702,20170109,2027,2027,1982.5,2119.5,1958.5,2099.5,2071.5,72.5,44.5,38,7872100,28
16,j1702,20170110,2099.5,2071.5,2087.5,2116,2080,2116,2099,44.5,27.5,8,1679500,28
17,j1702,20170111,2116,2099,0,0,0,2099,2099,0,0,0,0,28
18,j1702,20170112,2099,2099,0,0,0,2099,2099,0,0,0,0,28
