"   ","合约","日期","前收盘价","前结算价","开盘价","最高价","最低价","收盘价","结算价","涨跌1","涨跌2","成交量","成交金额","持仓量"
"1","jd1403","20131108","0.00","3800.00","4010.00","4012.00","3850.00","3868.00","3896.00","68.00","96.00","26968","1050934020.00","5256"
"2","jd1403","20131111","3868","3896.00","3860.00","3888.00","3851.00","3866.00","3877.00","-30.00","-19.00","5132","198992040.00","4260"
"3","jd1403","20131112","3866","3877.00","3867.00","3883.00","3858.00","3868.00","3870.00","-9.00","-7.00","1706","66028080.00","3970"
"4","jd1403","20131113","3868","3870.00","3859.00","3878.00","3859.00","3871.00","3871.00","1.00","1.00","1014","39261460.00","3502"
"5","jd1403","20131114","3871","3871.00","3881.00","3881.00","3850.00","3858.00","3864.00","-13.00","-7.00","1176","45446660.00","3164"
"6","jd1403","20131115","3858","3864.00","3861.00","3892.00","3860.00","3885.00","3880.00","21.00","16.00","1318","51146500.00","2570"
"7","jd1403","20131118","3885","3880.00","3890.00","3903.00","3880.00","3896.00","3892.00","16.00","12.00","772","30051760.00","2298"
"8","jd1403","20131119","3896","3892.00","3889.00","3895.00","3883.00","3890.00","3890.00","-2.00","-2.00","392","15251440.00","2124"
"9","jd1403","20131120","3890","3890.00","3891.00","3910.00","3884.00","3910.00","3900.00","20.00","10.00","450","17554280.00","2056"
"10","jd1403","20131121","3910","3900.00","3912.00","3914.00","3885.00","3886.00","3900.00","-14.00","0.00","320","12481740.00","1912"
"11","jd1403","20131122","3886","3900.00","3882.00","3906.00","3881.00","3899.00","3895.00","-1.00","-5.00","146","5687540.00","1816"
"12","jd1403","20131125","3899","3895.00","3895.00","3990.00","3893.00","3983.00","3943.00","88.00","48.00","1564","61674180.00","1208"
"13","jd1403","20131126","3983","3943.00","3972.00","3990.00","3964.00","3975.00","3974.00","32.00","31.00","276","10970500.00","1008"
"14","jd1403","20131127","3975","3974.00","3977.00","3977.00","3946.00","3958.00","3960.00","-16.00","-14.00","160","6337000.00","940"
"15","jd1403","20131128","3958","3960.00","3968.00","4009.00","3956.00","3981.00","3977.00","21.00","17.00","146","5807040.00","918"
"16","jd1403","20131129","3981","3977.00","3983.00","3985.00","3975.00","3983.00","3979.00","6.00","2.00","30","1193840.00","906"
"17","jd1403","20131202","3983","3979.00","3984.00","3984.00","3967.00","3969.00","3976.00","-10.00","-3.00","50","1988260.00","904"
"18","jd1403","20131203","3969","3976.00","3960.00","3990.00","3953.00","3972.00","3978.00","-4.00","2.00","238","9468540.00","844"
"19","jd1403","20131204","3972","3978.00","3973.00","3981.00","3962.00","3962.00","3966.00","-16.00","-12.00","38","1507440.00","836"
"20","jd1403","20131205","3962","3966.00","3960.00","3977.00","3960.00","3964.00","3968.00","-2.00","2.00","52","2063780.00","826"
"21","jd1403","20131206","3964","3968.00","3974.00","3974.00","3933.00","3953.00","3948.00","-15.00","-20.00","78","3080080.00","812"
"22","jd1403","20131209","3953","3948.00","3936.00","3962.00","3936.00","3942.00","3948.00","-6.00","0.00","20","789620.00","806"
"23","jd1403","20131210","3942","3948.00","3963.00","3993.00","3953.00","3954.00","3970.00","6.00","22.00","120","4764120.00","804"
"24","jd1403","20131211","3954","3970.00","3968.00","3981.00","3968.00","3975.00","3974.00","5.00","4.00","42","1669160.00","802"
"25","jd1403","20131212","3975","3974.00","3959.00","3973.00","3951.00","3958.00","3960.00","-16.00","-14.00","32","1267360.00","802"
"26","jd1403","20131213","3958","3960.00","3957.00","3957.00","3907.00","3920.00","3929.00","-40.00","-31.00","230","9036860.00","750"
"27","jd1403","20131216","3920","3929.00","3915.00","3924.00","3898.00","3914.00","3909.00","-15.00","-20.00","132","5160740.00","706"
"28","jd1403","20131217","3914","3909.00","3900.00","3928.00","3900.00","3916.00","3917.00","7.00","8.00","62","2428700.00","686"
