   ,ºÏÔ¼,ÈÕÆÚ,Ç°ÊÕÅÌ¼Û,Ç°½áËã¼Û,¿ªÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,ÊÕÅÌ¼Û,½áËã¼Û,ÕÇµø1,ÕÇµø2,³É½»Á¿,³É½»½ğ¶î,³Ö²ÖÁ¿
1,jm1307,20130322,0,1300,1300,1300,1235,1237,1254,-63,-46,828,62316000,294
2,jm1307,20130325,1237,1254,1234,1246,1228,1231,1238,-23,-16,120,8913600,304
3,jm1307,20130326,1231,1238,1228,1242,1228,1239,1236,1,-2,138,10241520,280
4,jm1307,20130327,1239,1236,1245,1245,1227,1230,1232,-6,-4,28,2070720,272
5,jm1307,20130328,1230,1232,1228,1239,1226,1234,1232,2,0,142,10502160,220
6,jm1307,20130329,1234,1232,1227,1241,1218,1228,1229,-4,-3,60,4427640,196
7,jm1307,20130401,1228,1229,1215,1215,1180,1191,1205,-38,-24,308,22271040,176
8,jm1307,20130402,1191,1205,1194,1221,1188,1215,1203,10,-2,184,13284240,102
9,jm1307,20130403,1215,1203,1204,1217,1204,1210,1211,7,8,30,2181120,88
10,jm1307,20130408,1210,1211,1210,1210,1191,1206,1199,-5,-12,24,1727640,76
11,jm1307,20130409,1206,1199,1215,1218,1205,1209,1213,10,14,38,2766480,52
12,jm1307,20130410,1209,1213,1213,1213,1212,1212,1212,-1,-1,6,436440,52
13,jm1307,20130411,1212,1212,1212,1212,1204,1204,1210,-8,-2,8,580800,48
14,jm1307,20130412,1204,1210,1204,1204,1199,1201,1201,-9,-9,18,1297200,46
15,jm1307,20130415,1201,1201,1182,1182,1156,1163,1165,-38,-36,34,2377320,38
16,jm1307,20130416,1163,1165,1138,1159,1133,1159,1142,-6,-23,30,2056800,34
17,jm1307,20130417,1159,1142,1147,1147,1133,1144,1139,2,-3,8,546840,28
18,jm1307,20130418,1144,1139,1144,1144,1131,1134,1135,-5,-4,8,544920,28
19,jm1307,20130419,1134,1135,1134,1134,1133,1133,1133,-2,-2,6,408000,24
20,jm1307,20130422,1133,1133,0,0,0,1129,1129,-4,-4,0,0,24
21,jm1307,20130423,1129,1129,1107,1107,1107,1107,1107,-22,-22,4,265680,24
22,jm1307,20130424,1107,1107,1104,1108,1104,1108,1106,1,-1,8,531120,24
23,jm1307,20130425,1108,1106,0,0,0,1106,1106,0,0,0,0,24
24,jm1307,20130426,1106,1106,1121,1121,1096,1096,1108,-10,2,4,266040,24
25,jm1307,20130502,1096,1108,0,0,0,1088,1088,-20,-20,0,0,24
26,jm1307,20130503,1088,1088,0,0,0,1088,1088,0,0,0,0,24
27,jm1307,20130506,1088,1088,0,0,0,1088,1088,0,0,0,0,24
28,jm1307,20130507,1088,1088,1087,1088,1087,1088,1087,0,-1,4,261000,24
29,jm1307,20130508,1088,1087,0,0,0,1087,1087,0,0,0,0,24
30,jm1307,20130509,1087,1087,1073,1073,1070,1071,1071,-16,-16,8,514200,22
31,jm1307,20130510,1071,1071,0,0,0,1071,1071,0,0,0,0,22
32,jm1307,20130513,1071,1071,1110,1110,1110,1110,1110,39,39,2,133200,22
33,jm1307,20130514,1110,1110,0,0,0,1110,1110,0,0,0,0,22
34,jm1307,20130515,1110,1110,0,0,0,1110,1110,0,0,0,0,22
