ROWNUM,合约,日期,前收盘价,前结算价,开盘价,最高价,最低价,收盘价,结算价,涨跌1,涨跌2,成交量,成交金额,持仓量
1,jm1701,20170103,1620,1570,1620,1620,1520,1520,1610.5,-50,40.5,212,20486520,4894
2,jm1701,20170104,1520,1610.5,1526,1600,1513,1516.5,1526.5,-94,-84,1036,94915080,4874
3,jm1701,20170105,1516.5,1526.5,1598,1598,1542.5,1542.5,1573.5,16,47,18,1699860,4864
4,jm1701,20170106,1542.5,1573.5,1598,1600,1537.5,1537.5,1575,-36,1.5,38,3591360,4846
5,jm1701,20170109,1537.5,1575,1570,1600,1570,1600,1577.5,25,2.5,1204,113964000,3642
6,jm1701,20170110,1600,1577.5,1600,1600,1499,1499,1581.5,-78.5,4,22,2087880,3624
7,jm1701,20170111,1499,1581.5,0,0,0,1581.5,1581.5,0,0,0,0,3624
8,jm1701,20170112,1581.5,1581.5,1600,1600,1479,1479,1559.5,-102.5,-22,30,2807820,3616
9,jm1701,20170113,1479,1559.5,1559.5,1600,1500,1600,1598,40.5,38.5,532,51010320,3608
10,jm1701,20170116,1600,1598,1600,1620,1599,1600,1566,2,-32,412,38743080,0
11,jm1702,20170103,1315.5,1315.5,0,0,0,1315.5,1315.5,0,0,0,0,22
12,jm1702,20170104,1315.5,1315.5,0,0,0,1247,1247,-68.5,-68.5,0,0,22
13,jm1702,20170105,1247,1247,0,0,0,1285,1285,38,38,0,0,22
14,jm1702,20170106,1285,1285,1400,1400,1400,1400,1400,115,115,2,168000,22
15,jm1702,20170109,1400,1400,1523.5,1523.5,1523.5,1523.5,1523.5,123.5,123.5,4,365640,20
16,jm1702,20170110,1523.5,1523.5,0,0,0,1527,1527,3.5,3.5,0,0,20
17,jm1702,20170111,1527,1527,0,0,0,1527,1527,0,0,0,0,20
18,jm1702,20170112,1527,1527,0,0,0,1506,1506,-21,-21,0,0,20
19,jm1702,20170113,1506,1506,1639,1639,1639,1639,1639,133,133,2,196680,18
20,jm1702,20170116,1639,1639,0,0,0,1639,1639,0,0,0,0,18
21,jm1702,20170117,1639,1639,1620,1620,1620,1620,1620,-19,-19,2,194400,18
22,jm1702,20170118,1620,1620,1631,1631,1631,1631,1631,11,11,2,195720,18
23,jm1702,20170119,1631,1631,1659.5,1659.5,1525,1525.5,1552,-105.5,-79,10,931320,8
24,jm1702,20170120,1525.5,1552,1495,1689.5,1435.5,1687.5,1610.5,135.5,58.5,18,1739700,8
25,jm1702,20170123,1687.5,1610.5,1470,1720,1470,1475,1517,-135.5,-93.5,12,1092540,2
26,jm1702,20170124,1475,1517,0,0,0,1517,1517,0,0,0,0,2
27,jm1702,20170125,1517,1517,0,0,0,1517,1517,0,0,0,0,2
28,jm1702,20170126,1517,1517,1653,1653,1653,1653,1653,136,136,2,198360,0
29,jm1702,20170203,1653,1653,0,0,0,1653,1653,0,0,0,0,0
30,jm1702,20170206,1653,1653,0,0,0,1653,1653,0,0,0,0,0
31,jm1702,20170207,1653,1653,0,0,0,1653,1653,0,0,0,0,0
32,jm1702,20170208,1653,1653,0,0,0,1653,1653,0,0,0,0,0
33,jm1702,20170209,1653,1653,0,0,0,1653,1653,0,0,0,0,0
34,jm1702,20170210,1653,1653,0,0,0,1653,1653,0,0,0,0,0
35,jm1702,20170213,1653,1653,0,0,0,1653,1653,0,0,0,0,0
36,jm1702,20170214,1653,1653,0,0,0,1653,1653,0,0,0,0,0
37,jm1702,20170215,1653,1653,0,0,0,1653,1653,0,0,0,0,0
38,jm1702,20170216,1653,1653,0,0,0,1653,1653,0,0,0,0,0
39,jm1703,20170103,1319,1345,0,0,0,1345,1345,0,0,0,0,30
40,jm1703,20170104,1345,1345,0,0,0,1345,1345,0,0,0,0,30
41,jm1703,20170105,1345,1345,0,0,0,1345,1345,0,0,0,0,30
42,jm1703,20170106,1345,1345,0,0,0,1345,1345,0,0,0,0,30
43,jm1703,20170109,1345,1345,0,0,0,1345,1345,0,0,0,0,30
44,jm1703,20170110,1345,1345,1422,1466,1365,1365,1417.5,20,72.5,6,510360,32
45,jm1703,20170111,1365,1417.5,1372,1499.5,1353.5,1353.5,1418.5,-64,1,14,1191780,34
46,jm1703,20170112,1353.5,1418.5,1357,1357,1357,1357,1357,-61.5,-61.5,16,1302720,32
47,jm1703,20170113,1357,1357,1356.5,1454,1356.5,1365,1388,8,31,8,666240,32
48,jm1703,20170116,1365,1388,1410,1455.5,1397,1450,1443,62,55,24,2077980,12
49,jm1703,20170117,1450,1443,1403,1475.5,1378,1459.5,1418.5,16.5,-24.5,10,851280,12
50,jm1703,20170118,1459.5,1418.5,1363,1363,1363,1363,1363,-55.5,-55.5,2,163560,10
51,jm1703,20170119,1363,1363,1359,1359,1359,1359,1359,-4,-4,2,163080,8
52,jm1703,20170120,1359,1359,1310.5,1457.5,1310.5,1368,1385,9,26,48,3988920,20
53,jm1703,20170123,1368,1385,1368,1368,1368,1368,1368,-17,-17,12,984960,8
54,jm1703,20170124,1368,1368,0,0,0,1368,1368,0,0,0,0,8
55,jm1703,20170125,1368,1368,0,0,0,1368,1368,0,0,0,0,8
56,jm1703,20170126,1368,1368,0,0,0,1490.5,1490.5,122.5,122.5,0,0,8
57,jm1703,20170203,1490.5,1490.5,0,0,0,1490.5,1490.5,0,0,0,0,8
58,jm1703,20170206,1490.5,1490.5,0,0,0,1490.5,1490.5,0,0,0,0,8
59,jm1703,20170207,1490.5,1490.5,0,0,0,1490.5,1490.5,0,0,0,0,8
60,jm1703,20170208,1490.5,1490.5,0,0,0,1490.5,1490.5,0,0,0,0,8
61,jm1703,20170209,1490.5,1490.5,0,0,0,1490.5,1490.5,0,0,0,0,8
62,jm1703,20170210,1490.5,1490.5,0,0,0,1490.5,1490.5,0,0,0,0,8
63,jm1703,20170213,1490.5,1490.5,0,0,0,1490.5,1490.5,0,0,0,0,8
64,jm1703,20170214,1490.5,1490.5,0,0,0,1490.5,1490.5,0,0,0,0,8
65,jm1703,20170215,1490.5,1490.5,0,0,0,1490.5,1490.5,0,0,0,0,8
66,jm1703,20170216,1490.5,1490.5,0,0,0,1490.5,1490.5,0,0,0,0,8
67,jm1703,20170217,1490.5,1490.5,0,0,0,1490.5,1490.5,0,0,0,0,8
68,jm1703,20170220,1490.5,1490.5,0,0,0,1490.5,1490.5,0,0,0,0,8
69,jm1703,20170221,1490.5,1490.5,0,0,0,1490.5,1490.5,0,0,0,0,8
70,jm1703,20170222,1490.5,1490.5,0,0,0,1490.5,1490.5,0,0,0,0,8
71,jm1703,20170223,1490.5,1490.5,0,0,0,1490.5,1490.5,0,0,0,0,8
72,jm1703,20170224,1490.5,1490.5,0,0,0,1490.5,1490.5,0,0,0,0,8
73,jm1703,20170227,1490.5,1490.5,1490.5,1490.5,1490.5,1490.5,1490.5,0,0,2,178860,6
74,jm1703,20170228,1490.5,1490.5,1550,1624.5,1550,1596.5,1590,106,99.5,6,572520,0
75,jm1703,20170301,1596.5,1590,0,0,0,1590,1590,0,0,0,0,0
76,jm1703,20170302,1590,1590,0,0,0,1590,1590,0,0,0,0,0
77,jm1703,20170303,1590,1590,0,0,0,1590,1590,0,0,0,0,0
