ROWNUM,合约,日期,前收盘价,前结算价,开盘价,最高价,最低价,收盘价,结算价,涨跌1,涨跌2,成交量,成交金额,持仓量
1,l1701,20170103,9780,9780,9820,9820,9600,9600,9650,-180,-130,742,35807800,8614
2,l1701,20170104,9600,9650,9550,9650,9550,9565,9575,-85,-75,972,46552250,8272
3,l1701,20170105,9565,9575,9600,9600,9550,9600,9555,25,-20,676,32311550,7874
4,l1701,20170106,9600,9555,9735,9770,9460,9460,9555,-95,0,1314,62807650,7224
5,l1701,20170109,9460,9555,9505,9650,9460,9650,9520,95,-35,568,27044650,7058
6,l1701,20170110,9650,9520,9660,9750,9580,9750,9660,230,140,128,6183000,7020
7,l1701,20170111,9750,9660,9745,9750,9650,9650,9710,-10,50,22,1068300,7012
8,l1701,20170112,9650,9710,9750,9880,9695,9740,9770,30,60,492,24034950,6980
9,l1701,20170113,9740,9770,9750,9940,9745,9940,9835,170,65,1142,56180050,6960
10,l1701,20170116,9940,9835,9800,10100,9800,10100,9645,265,-190,678,32846600,0
11,l1702,20170103,9840,9840,0,0,0,9710,9710,-130,-130,0,0,2
12,l1702,20170104,9710,9710,9460,9470,9460,9470,9460,-240,-250,6,283900,8
13,l1702,20170105,9470,9460,9495,9595,9495,9595,9530,135,70,6,285900,2
14,l1702,20170106,9595,9530,9515,9515,9515,9515,9515,-15,-15,2,95150,0
15,l1702,20170109,9515,9515,0,0,0,9515,9515,0,0,0,0,0
16,l1702,20170110,9515,9515,0,0,0,9650,9650,135,135,0,0,0
17,l1702,20170111,9650,9650,0,0,0,9650,9650,0,0,0,0,0
18,l1702,20170112,9650,9650,0,0,0,9650,9650,0,0,0,0,0
19,l1702,20170113,9650,9650,0,0,0,9710,9710,60,60,0,0,0
20,l1702,20170116,9710,9710,0,0,0,9525,9525,-185,-185,0,0,0
21,l1702,20170117,9525,9525,0,0,0,9525,9525,0,0,0,0,0
22,l1702,20170118,9525,9525,9600,9600,9600,9600,9600,75,75,2,96000,2
23,l1702,20170119,9600,9600,0,0,0,9600,9600,0,0,0,0,2
