"   ","合约","日期","前收盘价","前结算价","开盘价","最高价","最低价","收盘价","结算价","涨跌1","涨跌2","成交量","成交金额","持仓量"
"1","m1001","20100104","3360","3360.00","3360.00","3399.00","3360.00","3362.00","3362.00","2.00","2.00","1092","3671.63","2130"
"2","m1001","20100105","3362","3362.00","3365.00","3450.00","3365.00","3382.00","3391.00","20.00","29.00","1492","5060.78","1652"
"3","m1001","20100106","3382","3391.00","3440.00","3450.00","3370.00","3450.00","3449.00","59.00","58.00","296","1020.99","1360"
"4","m1001","20100107","3450","3449.00","0.00","0.00","0.00","3449.00","3449.00","0.00","0.00","0","0","1360"
"5","m1001","20100108","3449","3449.00","0.00","0.00","0.00","3449.00","3449.00","0.00","0.00","0","0","1360"
"6","m1001","20100111","3449","3449.00","3360.00","3365.00","3360.00","3365.00","3361.00","-84.00","-88.00","50","168.05","1320"
"7","m1001","20100112","3365","3361.00","3360.00","3365.00","3360.00","3360.00","3360.00","-1.00","-1.00","264","887.06","1060"
"8","m1001","20100113","3360","3360.00","3341.00","3341.00","3341.00","3341.00","3341.00","-19.00","-19.00","60","200.46","1000"
"9","m1001","20100114","3341","3341.00","3300.00","3300.00","3300.00","3300.00","3300.00","-41.00","-41.00","40","132","960"
"10","m1001","20100115","3300","3300.00","3300.00","3300.00","3200.00","3200.00","3376.00","-100.00","76.00","148","481.6","0"
"11","m1003","20100104","3310","3313.00","3332.00","3333.00","3308.00","3321.00","3324.00","8.00","11.00","150","498.69","254"
"12","m1003","20100105","3321","3324.00","3322.00","3383.00","3322.00","3350.00","3343.00","26.00","19.00","94","314.31","242"
"13","m1003","20100106","3350","3343.00","3370.00","3383.00","3365.00","3368.00","3370.00","25.00","27.00","128","431.43","310"
"14","m1003","20100107","3368","3370.00","3381.00","3398.00","3265.00","3315.00","3329.00","-55.00","-41.00","186","619.36","260"
"15","m1003","20100108","3315","3329.00","3280.00","3315.00","3266.00","3284.00","3297.00","-45.00","-32.00","92","303.35","252"
"16","m1003","20100111","3284","3297.00","3300.00","3324.00","3300.00","3304.00","3305.00","7.00","8.00","124","409.91","218"
"17","m1003","20100112","3304","3305.00","3290.00","3306.00","3280.00","3301.00","3292.00","-4.00","-13.00","54","177.82","250"
"18","m1003","20100113","3301","3292.00","3261.00","3277.00","3175.00","3245.00","3239.00","-47.00","-53.00","92","298.05","282"
"19","m1003","20100114","3245","3239.00","3242.00","3266.00","3242.00","3265.00","3257.00","26.00","18.00","68","221.5","276"
"20","m1003","20100115","3265","3257.00","3265.00","3273.00","3256.00","3261.00","3264.00","4.00","7.00","36","117.53","268"
"21","m1003","20100118","3261","3264.00","3267.00","3267.00","3256.00","3266.00","3263.00","2.00","-1.00","40","130.56","246"
"22","m1003","20100119","3266","3263.00","3291.00","3291.00","3250.00","3251.00","3262.00","-12.00","-1.00","134","437.17","302"
"23","m1003","20100120","3251","3262.00","3239.00","3245.00","3226.00","3232.00","3235.00","-30.00","-27.00","30","97.08","312"
"24","m1003","20100121","3232","3235.00","3214.00","3225.00","3211.00","3218.00","3218.00","-17.00","-17.00","42","135.18","300"
"25","m1003","20100122","3218","3218.00","3209.00","3213.00","3186.00","3198.00","3197.00","-20.00","-21.00","52","166.27","292"
"26","m1003","20100125","3198","3197.00","3203.00","3203.00","3191.00","3195.00","3196.00","-2.00","-1.00","32","102.28","290"
"27","m1003","20100126","3195","3196.00","3151.00","3177.00","3151.00","3175.00","3167.00","-21.00","-29.00","36","114.04","260"
"28","m1003","20100127","3175","3167.00","3183.00","3183.00","3164.00","3164.00","3174.00","-3.00","7.00","18","57.14","260"
"29","m1003","20100128","3164","3174.00","3144.00","3144.00","3099.00","3100.00","3119.00","-74.00","-55.00","32","99.82","258"
"30","m1003","20100129","3100","3119.00","3132.00","3132.00","3018.00","3035.00","3051.00","-84.00","-68.00","82","250.26","250"
"31","m1003","20100201","3035","3051.00","2970.00","2975.00","2946.00","2970.00","2966.00","-81.00","-85.00","38","112.73","230"
"32","m1003","20100202","2970","2966.00","2977.00","2995.00","2887.00","2901.00","2904.00","-65.00","-62.00","146","424.05","216"
"33","m1003","20100203","2901","2904.00","2910.00","2927.00","2910.00","2925.00","2918.00","21.00","14.00","52","151.75","220"
"34","m1003","20100204","2925","2918.00","2903.00","2930.00","2903.00","2917.00","2916.00","-1.00","-2.00","36","105","222"
"35","m1003","20100205","2917","2916.00","2923.00","2940.00","2905.00","2929.00","2919.00","13.00","3.00","26","75.91","218"
"36","m1003","20100208","2929","2919.00","2940.00","2940.00","2931.00","2940.00","2938.00","21.00","19.00","22","64.65","216"
"37","m1003","20100209","2940","2938.00","2886.00","2930.00","2886.00","2928.00","2912.00","-10.00","-26.00","36","104.85","210"
"38","m1003","20100210","2928","2912.00","2930.00","2932.00","2901.00","2901.00","2927.00","-11.00","15.00","18","52.69","200"
"39","m1003","20100211","2901","2927.00","2936.00","2965.00","2936.00","2965.00","2943.00","38.00","16.00","28","82.42","200"
"40","m1003","20100212","2965","2943.00","2946.00","2950.00","2945.00","2950.00","2946.00","7.00","3.00","12","35.36","190"
