   ,合约,日期,前收盘价,前结算价,开盘价,最高价,最低价,收盘价,结算价,涨跌1,涨跌2,成交量,成交金额,持仓量
1,m1301,20130104,3840,3842,3850,3850,3750,3781,3813,-61,-29,5554,211803280,16164
2,m1301,20130107,3781,3813,3750,3780,3745,3749,3760,-64,-53,3348,125894240,12876
3,m1301,20130108,3749,3760,3738,3791,3738,3774,3757,14,-3,1200,45093460,11812
4,m1301,20130109,3774,3757,3620,3804,3620,3768,3779,11,22,2358,89128900,10634
5,m1301,20130110,3768,3779,3796,3800,3751,3765,3761,-14,-18,1810,68089960,10636
6,m1301,20130111,3765,3761,3720,3750,3700,3750,3745,-11,-16,4364,163467100,7722
7,m1301,20130114,3750,3745,3680,3800,3680,3755,3718,10,-27,538,20005300,7234
8,m1301,20130115,3755,3718,3789,3810,3789,3800,3800,82,82,5320,202192980,1958
9,m1301,20130116,3800,3800,3775,3800,3772,3800,3797,0,-3,1866,70852960,92
10,m1301,20130117,3800,3797,3800,3800,3800,3800,3780,3,-17,92,3496000,0
11,m1303,20130104,3533,3548,3526,3526,3463,3509,3500,-39,-48,198,6930820,1016
12,m1303,20130107,3509,3500,3479,3524,3475,3512,3507,12,7,230,8067480,992
13,m1303,20130108,3512,3507,3520,3530,3506,3530,3518,23,11,156,5489420,966
14,m1303,20130109,3530,3518,3525,3548,3505,3508,3531,-10,13,168,5932660,956
15,m1303,20130110,3508,3531,3520,3527,3501,3504,3518,-27,-13,60,2110860,970
16,m1303,20130111,3504,3518,3499,3518,3499,3510,3505,-8,-13,92,3224820,946
17,m1303,20130114,3510,3505,3560,3572,3552,3572,3560,67,55,164,5839660,892
18,m1303,20130115,3572,3560,3603,3626,3586,3613,3611,53,51,292,10545600,832
19,m1303,20130116,3613,3611,3626,3650,3605,3650,3624,39,13,64,2319400,834
20,m1303,20130117,3650,3624,3679,3680,3619,3622,3649,-2,25,152,5546880,766
21,m1303,20130118,3622,3649,3630,3641,3627,3630,3634,-19,-15,70,2544200,754
22,m1303,20130121,3630,3634,3623,3656,3620,3638,3642,4,8,68,2476960,748
23,m1303,20130122,3638,3642,3643,3670,3643,3670,3651,28,9,22,803420,744
24,m1303,20130123,3670,3651,3667,3682,3664,3679,3672,28,21,54,1983320,732
25,m1303,20130124,3679,3672,3651,3668,3622,3636,3650,-36,-22,76,2774580,736
26,m1303,20130125,3636,3650,3645,3692,3639,3647,3656,-3,6,60,2194160,732
27,m1303,20130128,3647,3656,3690,3719,3680,3719,3695,63,39,112,4138700,708
28,m1303,20130129,3719,3695,3701,3717,3701,3702,3707,7,12,74,2743880,698
29,m1303,20130130,3702,3707,3720,3780,3720,3780,3759,73,52,226,8495860,712
30,m1303,20130131,3780,3759,3815,3827,3791,3810,3809,51,50,86,3276460,718
31,m1303,20130201,3810,3809,3798,3827,3793,3827,3804,18,-5,66,2510920,708
32,m1303,20130204,3827,3804,3836,3839,3835,3835,3838,31,34,88,3378040,630
33,m1303,20130205,3835,3838,3831,3879,3831,3857,3863,19,25,62,2395160,620
34,m1303,20130206,3857,3863,3869,3897,3869,3881,3886,18,23,60,2332000,582
35,m1303,20130207,3881,3886,3920,3923,3853,3875,3875,-11,-11,142,5503200,480
36,m1303,20130208,3875,3875,3920,3920,3862,3862,3894,-13,19,24,934680,460
37,m1303,20130218,3862,3894,3760,3870,3760,3829,3828,-65,-66,48,1837540,440
38,m1303,20130219,3829,3828,3810,3850,3804,3817,3814,-11,-14,136,5187660,378
39,m1303,20130220,3817,3814,3817,3850,3817,3850,3843,36,29,26,999180,366
40,m1303,20130221,3850,3843,3869,3869,3816,3864,3840,21,-3,80,3072540,326
41,m1303,20130222,3864,3840,3846,3940,3846,3939,3901,99,61,72,2809280,278
42,m1303,20130225,3939,3901,3879,3929,3849,3903,3881,2,-20,78,3027620,248
43,m1303,20130226,3903,3881,3923,3944,3873,3873,3900,-8,19,158,6162440,154
44,m1303,20130227,3873,3900,3919,3969,3863,3863,3880,-37,-20,172,6674780,38
45,m1303,20130228,3863,3880,3920,3929,3802,3802,3914,-78,34,38,1487540,6
46,m1303,20130301,3802,3914,3821,4148,3821,3822,3930,-92,16,6,235820,0
47,m1303,20130304,3822,3930,0,0,0,3930,3930,0,0,0,0,0
48,m1303,20130305,3930,3930,0,0,0,3930,3930,0,0,0,0,0
