ROWNUM,合约,日期,前收盘价,前结算价,开盘价,最高价,最低价,收盘价,结算价,涨跌1,涨跌2,成交量,成交金额,持仓量
1,m1701,20170103,3026,3053,2922,3087,2919,3011,3028,-42,-25,3840,116281920,10790
2,m1701,20170104,3011,3028,3018,3048,3013,3020,3020,-8,-8,734,22172200,10184
3,m1701,20170105,3020,3020,2961,3047,2961,2990,2997,-30,-23,618,18523500,9574
4,m1701,20170106,2990,2997,3000,3037,2978,3029,3026,32,29,2588,78324180,8702
5,m1701,20170109,3029,3026,2968,3021,2968,3000,3002,-26,-24,1240,37233680,8396
6,m1701,20170110,3000,3002,2990,2999,2980,2999,2997,-3,-5,3664,109841400,6850
7,m1701,20170111,2999,2997,3090,3090,2967,2970,3069,-27,72,1010,31006860,6088
8,m1701,20170112,2970,3069,2969,3020,2969,3000,3009,-69,-60,68,2046180,6088
9,m1701,20170113,3000,3009,2969,3030,2950,2998,3001,-11,-8,208,6242900,6088
10,m1701,20170116,2998,3001,2979,3038,2979,3000,3017,-1,16,472,14129000,0
11,m1703,20170103,3080,3097,3090,3090,3090,3090,3090,-7,-7,2,61800,114
12,m1703,20170104,3090,3090,3057,3065,3035,3035,3042,-55,-48,16,486720,114
13,m1703,20170105,3035,3042,3035,3058,3030,3058,3038,16,-4,8,243060,118
14,m1703,20170106,3058,3038,2977,2977,2977,2977,2977,-61,-61,2,59540,118
15,m1703,20170109,2977,2977,3047,3047,2967,2970,2979,-7,2,14,417080,108
16,m1703,20170110,2970,2979,2928,2928,2928,2928,2928,-51,-51,2,58560,110
17,m1703,20170111,2928,2928,3033,3033,2971,2971,3003,43,75,8,240260,108
18,m1703,20170112,2971,3003,3005,3006,2994,3002,3000,-1,-3,18,540000,108
19,m1703,20170113,3002,3000,3039,3094,3029,3092,3071,92,71,16,491500,106
20,m1703,20170116,3092,3071,3039,3039,3037,3037,3038,-34,-33,20,607660,124
21,m1703,20170117,3037,3038,3100,3100,3040,3097,3073,59,35,22,676120,118
