ROWNUM,合约,日期,前收盘价,前结算价,开盘价,最高价,最低价,收盘价,结算价,涨跌1,涨跌2,成交量,成交金额,持仓量
1,p1701,20170103,6380,6394,6438,6650,6438,6548,6578,154,184,1148,75532360,6432
2,p1701,20170104,6548,6578,6552,6558,6450,6450,6488,-128,-90,56,3634320,6426
3,p1701,20170105,6450,6488,6412,6450,6400,6434,6434,-54,-54,144,9266920,6426
4,p1701,20170106,6434,6434,0,0,0,6366,6366,-68,-68,0,0,6426
5,p1701,20170109,6366,6366,0,0,0,6366,6366,0,0,0,0,6426
6,p1701,20170110,6366,6366,0,0,0,6366,6366,0,0,0,0,6426
7,p1701,20170111,6366,6366,6744,6744,6334,6380,6356,14,-10,238,15129680,6188
8,p1701,20170112,6380,6356,0,0,0,6356,6356,0,0,0,0,6188
9,p1701,20170113,6356,6356,6392,6392,6392,6392,6392,36,36,2,127840,6186
10,p1701,20170116,6392,6392,0,0,0,6528,6528,136,136,0,0,0
11,p1702,20170103,6528,6528,0,0,0,6528,6528,0,0,0,0,18
12,p1702,20170104,6528,6528,0,0,0,6528,6528,0,0,0,0,18
13,p1702,20170105,6528,6528,0,0,0,6528,6528,0,0,0,0,18
14,p1702,20170106,6528,6528,0,0,0,6500,6500,-28,-28,0,0,18
15,p1702,20170109,6500,6500,6486,6486,6486,6486,6486,-14,-14,4,259440,14
16,p1702,20170110,6486,6486,0,0,0,6486,6486,0,0,0,0,14
17,p1702,20170111,6486,6486,0,0,0,6486,6486,0,0,0,0,14
18,p1702,20170112,6486,6486,0,0,0,6486,6486,0,0,0,0,14
19,p1702,20170113,6486,6486,0,0,0,6486,6486,0,0,0,0,14
20,p1702,20170116,6486,6486,0,0,0,6486,6486,0,0,0,0,14
21,p1702,20170117,6486,6486,0,0,0,6486,6486,0,0,0,0,14
22,p1702,20170118,6486,6486,0,0,0,6486,6486,0,0,0,0,14
23,p1702,20170119,6486,6486,6310,6310,6308,6308,6308,-178,-178,12,757160,12
24,p1702,20170120,6308,6308,0,0,0,6308,6308,0,0,0,0,12
25,p1702,20170123,6308,6308,6188,6188,6188,6188,6188,-120,-120,12,742560,0
26,p1702,20170124,6188,6188,6106,6460,6000,6296,6202,108,14,798,49499480,0
27,p1702,20170125,6296,6202,0,0,0,6202,6202,0,0,0,0,0
28,p1702,20170126,6202,6202,0,0,0,6202,6202,0,0,0,0,0
29,p1702,20170203,6202,6202,6202,6202,6202,6202,6202,0,0,8,496160,0
30,p1702,20170206,6202,6202,0,0,0,6202,6202,0,0,0,0,0
31,p1702,20170207,6202,6202,0,0,0,6202,6202,0,0,0,0,0
32,p1702,20170208,6202,6202,0,0,0,6202,6202,0,0,0,0,0
33,p1702,20170209,6202,6202,0,0,0,6202,6202,0,0,0,0,0
34,p1702,20170210,6202,6202,0,0,0,6202,6202,0,0,0,0,0
35,p1702,20170213,6202,6202,0,0,0,6202,6202,0,0,0,0,0
36,p1702,20170214,6202,6202,0,0,0,6202,6202,0,0,0,0,0
37,p1702,20170215,6202,6202,0,0,0,6202,6202,0,0,0,0,0
38,p1702,20170216,6202,6202,0,0,0,6202,6202,0,0,0,0,0
39,p1703,20170103,6214,6214,0,0,0,6214,6214,0,0,0,0,0
40,p1703,20170104,6214,6214,0,0,0,6214,6214,0,0,0,0,0
41,p1703,20170105,6214,6214,0,0,0,6214,6214,0,0,0,0,0
42,p1703,20170106,6214,6214,0,0,0,6214,6214,0,0,0,0,0
43,p1703,20170109,6214,6214,0,0,0,6214,6214,0,0,0,0,0
44,p1703,20170110,6214,6214,0,0,0,6214,6214,0,0,0,0,0
45,p1703,20170111,6214,6214,0,0,0,6214,6214,0,0,0,0,0
46,p1703,20170112,6214,6214,0,0,0,6214,6214,0,0,0,0,0
47,p1703,20170113,6214,6214,0,0,0,6214,6214,0,0,0,0,0
48,p1703,20170116,6214,6214,0,0,0,6214,6214,0,0,0,0,0
49,p1703,20170117,6214,6214,0,0,0,6214,6214,0,0,0,0,0
50,p1703,20170118,6214,6214,0,0,0,6214,6214,0,0,0,0,0
51,p1703,20170119,6214,6214,0,0,0,6044,6044,-170,-170,0,0,0
52,p1703,20170120,6044,6044,0,0,0,6044,6044,0,0,0,0,0
53,p1703,20170123,6044,6044,0,0,0,5930,5930,-114,-114,0,0,0
54,p1703,20170124,5930,5930,0,0,0,5942,5942,12,12,0,0,0
55,p1703,20170125,5942,5942,0,0,0,5942,5942,0,0,0,0,0
56,p1703,20170126,5942,5942,0,0,0,5942,5942,0,0,0,0,0
57,p1703,20170203,5942,5942,0,0,0,5942,5942,0,0,0,0,0
58,p1703,20170206,5942,5942,0,0,0,5942,5942,0,0,0,0,0
59,p1703,20170207,5942,5942,0,0,0,5942,5942,0,0,0,0,0
60,p1703,20170208,5942,5942,5938,6238,5938,6184,6116,242,174,114,6972960,0
61,p1703,20170209,6184,6116,0,0,0,6116,6116,0,0,0,0,0
62,p1703,20170210,6116,6116,0,0,0,6116,6116,0,0,0,0,0
63,p1703,20170213,6116,6116,0,0,0,6116,6116,0,0,0,0,0
64,p1703,20170214,6116,6116,0,0,0,6116,6116,0,0,0,0,0
65,p1703,20170215,6116,6116,0,0,0,6116,6116,0,0,0,0,0
66,p1703,20170216,6116,6116,0,0,0,6116,6116,0,0,0,0,0
67,p1703,20170217,6116,6116,0,0,0,6116,6116,0,0,0,0,0
68,p1703,20170220,6116,6116,0,0,0,6116,6116,0,0,0,0,0
69,p1703,20170221,6116,6116,0,0,0,6116,6116,0,0,0,0,0
70,p1703,20170222,6116,6116,0,0,0,6116,6116,0,0,0,0,0
71,p1703,20170223,6116,6116,0,0,0,6116,6116,0,0,0,0,0
72,p1703,20170224,6116,6116,0,0,0,6116,6116,0,0,0,0,0
73,p1703,20170227,6116,6116,0,0,0,6116,6116,0,0,0,0,0
74,p1703,20170228,6116,6116,0,0,0,6116,6116,0,0,0,0,0
75,p1703,20170301,6116,6116,0,0,0,6116,6116,0,0,0,0,0
76,p1703,20170302,6116,6116,0,0,0,6116,6116,0,0,0,0,0
77,p1703,20170303,6116,6116,0,0,0,6116,6116,0,0,0,0,0
78,p1703,20170306,6116,6116,0,0,0,6116,6116,0,0,0,0,0
79,p1703,20170307,6116,6116,0,0,0,6116,6116,0,0,0,0,0
80,p1703,20170308,6116,6116,0,0,0,6116,6116,0,0,0,0,0
81,p1703,20170309,6116,6116,0,0,0,6116,6116,0,0,0,0,0
82,p1703,20170310,6116,6116,0,0,0,6116,6116,0,0,0,0,0
83,p1703,20170313,6116,6116,0,0,0,6116,6116,0,0,0,0,0
84,p1703,20170314,6116,6116,0,0,0,6116,6116,0,0,0,0,0
85,p1704,20170103,6230,6230,0,0,0,6230,6230,0,0,0,0,4
86,p1704,20170104,6230,6230,0,0,0,6230,6230,0,0,0,0,4
87,p1704,20170105,6230,6230,0,0,0,6230,6230,0,0,0,0,4
88,p1704,20170106,6230,6230,0,0,0,6230,6230,0,0,0,0,4
89,p1704,20170109,6230,6230,6230,6536,5920,6146,6186,-84,-44,56,3465240,8
90,p1704,20170110,6146,6186,6126,6126,6126,6126,6126,-60,-60,2,122520,6
91,p1704,20170111,6126,6126,0,0,0,6126,6126,0,0,0,0,6
92,p1704,20170112,6126,6126,6346,6384,6302,6304,6346,178,220,54,3426920,12
93,p1704,20170113,6304,6346,6290,6290,6290,6290,6290,-56,-56,4,251600,8
94,p1704,20170116,6290,6290,6402,6432,6322,6322,6400,32,110,138,8834280,4
95,p1704,20170117,6322,6400,0,0,0,6400,6400,0,0,0,0,4
96,p1704,20170118,6400,6400,0,0,0,6364,6364,-36,-36,0,0,4
97,p1704,20170119,6364,6364,0,0,0,6364,6364,0,0,0,0,4
98,p1704,20170120,6364,6364,0,0,0,6364,6364,0,0,0,0,4
99,p1704,20170123,6364,6364,0,0,0,6364,6364,0,0,0,0,4
100,p1704,20170124,6364,6364,0,0,0,6364,6364,0,0,0,0,4
101,p1704,20170125,6364,6364,0,0,0,6364,6364,0,0,0,0,4
102,p1704,20170126,6364,6364,0,0,0,6364,6364,0,0,0,0,4
103,p1704,20170203,6364,6364,0,0,0,6298,6298,-66,-66,0,0,4
104,p1704,20170206,6298,6298,0,0,0,6298,6298,0,0,0,0,4
105,p1704,20170207,6298,6298,0,0,0,6298,6298,0,0,0,0,4
106,p1704,20170208,6298,6298,0,0,0,6298,6298,0,0,0,0,4
107,p1704,20170209,6298,6298,0,0,0,6298,6298,0,0,0,0,4
108,p1704,20170210,6298,6298,6168,6226,6168,6226,6196,-72,-102,4,247880,2
109,p1704,20170213,6226,6196,0,0,0,6196,6196,0,0,0,0,2
110,p1704,20170214,6196,6196,6238,6238,6148,6148,6192,-48,-4,4,247720,2
111,p1704,20170215,6148,6192,0,0,0,6192,6192,0,0,0,0,2
112,p1704,20170216,6192,6192,6034,6152,6034,6152,6092,-40,-100,4,243720,2
113,p1704,20170217,6152,6092,6022,6042,6022,6042,6032,-50,-60,4,241280,0
114,p1704,20170220,6042,6032,0,0,0,6032,6032,0,0,0,0,0
115,p1704,20170221,6032,6032,0,0,0,6032,6032,0,0,0,0,0
116,p1704,20170222,6032,6032,0,0,0,6032,6032,0,0,0,0,0
