ROWNUM,合约,日期,前收盘价,前结算价,开盘价,最高价,最低价,收盘价,结算价,涨跌1,涨跌2,成交量,成交金额,持仓量
1,pp1701,20170103,8740,8756,8740,8740,8510,8510,8557,-246,-199,774,33115640,2882
2,pp1701,20170104,8510,8557,8536,8560,8490,8490,8538,-67,-19,552,23564920,2340
3,pp1701,20170105,8490,8538,8396,8550,8396,8500,8469,-38,-69,106,4488920,2258
4,pp1701,20170106,8500,8469,8600,8600,8402,8447,8511,-22,42,306,13021950,1978
5,pp1701,20170109,8447,8511,8570,8600,8570,8600,8579,89,68,62,2659690,1918
6,pp1701,20170110,8600,8579,8600,8600,8401,8500,8497,-79,-82,176,7478130,1800
7,pp1701,20170111,8500,8497,8383,8660,8383,8660,8486,163,-11,32,1357900,1800
8,pp1701,20170112,8660,8486,8660,8700,8550,8550,8645,64,159,98,4236140,1774
9,pp1701,20170113,8550,8645,8600,8750,8600,8750,8621,105,-24,236,10173310,1628
10,pp1701,20170116,8750,8621,8600,8972,8600,8900,8585,279,-36,590,25772110,0
11,pp1702,20170103,8700,8700,0,0,0,8503,8503,-197,-197,0,0,16
12,pp1702,20170104,8503,8503,8346,8346,8346,8346,8346,-157,-157,2,83460,14
13,pp1702,20170105,8346,8346,0,0,0,8279,8279,-67,-67,0,0,14
14,pp1702,20170106,8279,8279,0,0,0,8279,8279,0,0,0,0,14
15,pp1702,20170109,8279,8279,0,0,0,8345,8345,66,66,0,0,14
16,pp1702,20170110,8345,8345,0,0,0,8266,8266,-79,-79,0,0,14
17,pp1702,20170111,8266,8266,0,0,0,8256,8256,-10,-10,0,0,14
18,pp1702,20170112,8256,8256,8667,8667,8369,8369,8542,113,286,22,939660,24
19,pp1702,20170113,8369,8542,0,0,0,8519,8519,-23,-23,0,0,24
20,pp1702,20170116,8519,8519,8942,8942,8942,8942,8942,423,423,6,268260,18
21,pp1702,20170117,8942,8942,9311,9311,8951,8951,9176,9,234,16,734080,12
22,pp1702,20170118,8951,9176,0,0,0,9176,9176,0,0,0,0,12
23,pp1702,20170119,9176,9176,8800,8800,8800,8800,8800,-376,-376,2,88000,10
24,pp1702,20170120,8800,8800,9240,9240,8392,8907,8852,107,52,34,1504960,8
25,pp1702,20170123,8907,8852,8817,8817,8816,8816,8816,-36,-36,8,352670,6
26,pp1702,20170124,8816,8816,0,0,0,8816,8816,0,0,0,0,6
27,pp1702,20170125,8816,8816,8816,8816,8816,8816,8816,0,0,2,88160,4
28,pp1702,20170126,8816,8816,9432,9432,9432,9432,9432,616,616,4,188640,0
29,pp1702,20170203,9432,9432,0,0,0,9432,9432,0,0,0,0,0
30,pp1702,20170206,9432,9432,0,0,0,9432,9432,0,0,0,0,0
31,pp1702,20170207,9432,9432,0,0,0,9432,9432,0,0,0,0,0
