"   ","合约","日期","前收盘价","前结算价","开盘价","最高价","最低价","收盘价","结算价","涨跌1","涨跌2","成交量","成交金额","持仓量"
"1","v1101","20110104","7820.00","7820.00","7930.00","7930.00","7930.00","7930.00","7930.00","110.00","110.00","76","3013400.00","21032"
"2","v1101","20110105","7930.00","7930.00","7930.00","7930.00","7930.00","7930.00","7930.00","0.00","0.00","100","3965000.00","20932"
"3","v1101","20110106","7930.00","7930.00","7930.00","7950.00","7930.00","7950.00","7935.00","20.00","5.00","68","2698200.00","20864"
"4","v1101","20110107","7950.00","7935.00","7800.00","7800.00","7800.00","7800.00","7800.00","-135.00","-135.00","56","2184000.00","20864"
"5","v1101","20110110","7800.00","7800.00","0.00","0.00","0.00","7800.00","7800.00","0.00","0.00","0","0.00","20864"
"6","v1101","20110111","7800.00","7800.00","0.00","0.00","0.00","7800.00","7800.00","0.00","0.00","0","0.00","20864"
"7","v1101","20110112","7800.00","7800.00","7850.00","7850.00","7850.00","7850.00","7850.00","50.00","50.00","400","15700000.00","20864"
"8","v1101","20110113","7850.00","7850.00","0.00","0.00","0.00","7850.00","7850.00","0.00","0.00","0","0.00","20864"
"9","v1101","20110114","7850.00","7850.00","7700.00","7700.00","7700.00","7700.00","7700.00","-150.00","-150.00","30","1155000.00","20894"
"10","v1101","20110117","7700.00","7700.00","7800.00","7800.00","7650.00","7650.00","7785.00","-50.00","85.00","638","24563750.00","0"
"11","v1102","20110104","8120.00","8120.00","0.00","0.00","0.00","8120.00","8120.00","0.00","0.00","0","0.00","6"
"12","v1102","20110105","8120.00","8120.00","8280.00","8280.00","8130.00","8130.00","8205.00","10.00","85.00","4","164100.00","6"
"13","v1102","20110106","8130.00","8205.00","8300.00","8300.00","8300.00","8300.00","8300.00","95.00","95.00","2","83000.00","6"
"14","v1102","20110107","8300.00","8300.00","8125.00","8125.00","8125.00","8125.00","8125.00","-175.00","-175.00","2","81250.00","4"
"15","v1102","20110110","8125.00","8125.00","8125.00","8125.00","8125.00","8125.00","8125.00","0.00","0.00","2","81250.00","4"
"16","v1102","20110111","8125.00","8125.00","0.00","0.00","0.00","8125.00","8125.00","0.00","0.00","0","0.00","4"
"17","v1102","20110112","8125.00","8125.00","0.00","0.00","0.00","8125.00","8120.00","0.00","-5.00","2","81200.00","4"
"18","v1102","20110113","8125.00","8120.00","0.00","0.00","0.00","8120.00","8120.00","0.00","0.00","0","0.00","4"
"19","v1102","20110114","8120.00","8120.00","8000.00","8000.00","8000.00","8000.00","8000.00","-120.00","-120.00","2","80000.00","4"
"20","v1102","20110117","8000.00","8000.00","7900.00","7900.00","7890.00","7890.00","7895.00","-110.00","-105.00","4","157900.00","6"
"21","v1102","20110118","7890.00","7895.00","0.00","0.00","0.00","7895.00","7895.00","0.00","0.00","0","0.00","6"
"22","v1102","20110119","7895.00","7895.00","0.00","0.00","0.00","7895.00","7895.00","0.00","0.00","0","0.00","6"
"23","v1102","20110120","7895.00","7895.00","8000.00","8000.00","7610.00","7610.00","7805.00","-285.00","-90.00","4","156100.00","6"
"24","v1102","20110121","7610.00","7805.00","0.00","0.00","0.00","7805.00","7805.00","0.00","0.00","0","0.00","6"
"25","v1102","20110124","7805.00","7805.00","0.00","0.00","0.00","7805.00","7805.00","0.00","0.00","0","0.00","6"
"26","v1102","20110125","7805.00","7805.00","7995.00","7995.00","7995.00","7995.00","7995.00","190.00","190.00","2","79950.00","6"
"27","v1102","20110126","7995.00","7995.00","7525.00","7670.00","7525.00","7670.00","7605.00","-325.00","-390.00","6","228200.00","6"
"28","v1102","20110127","7670.00","7605.00","7700.00","7995.00","7700.00","7995.00","7830.00","390.00","225.00","6","234950.00","6"
