ROWNUM,合约,日期,前收盘价,前结算价,开盘价,最高价,最低价,收盘价,结算价,涨跌1,涨跌2,成交量,成交金额,持仓量
1,v1701,20170103,6180,6180,5815,6180,5815,5970,6090,-210,-90,428,13034950,9838
2,v1701,20170104,5970,6090,6100,6100,6100,6100,6100,10,10,112,3416000,9838
3,v1701,20170105,6100,6100,6100,6100,6055,6055,6095,-45,-5,26,792550,9814
4,v1701,20170106,6055,6095,0,0,0,6095,6095,0,0,0,0,9814
5,v1701,20170109,6095,6095,6150,6200,6150,6200,6195,105,100,76,2355000,9800
6,v1701,20170110,6200,6195,6250,6280,5835,6180,6180,-15,-15,90,2781050,9790
7,v1701,20170111,6180,6180,6180,6180,6180,6180,6180,0,0,314,9702600,9790
8,v1701,20170112,6180,6180,6200,6200,6200,6200,6200,20,20,2,62000,9790
9,v1701,20170113,6200,6200,6500,6500,6185,6185,6465,-15,265,24,775800,9770
10,v1701,20170116,6185,6465,6250,6380,6205,6250,6150,-215,-315,178,5521450,0
11,v1702,20170103,6150,6150,0,0,0,6065,6065,-85,-85,0,0,50
12,v1702,20170104,6065,6065,0,0,0,6065,6065,0,0,0,0,50
13,v1702,20170105,6065,6065,0,0,0,6065,6065,0,0,0,0,50
14,v1702,20170106,6065,6065,0,0,0,6065,6065,0,0,0,0,50
15,v1702,20170109,6065,6065,0,0,0,6160,6160,95,95,0,0,50
16,v1702,20170110,6160,6160,0,0,0,6150,6150,-10,-10,0,0,50
17,v1702,20170111,6150,6150,0,0,0,6150,6150,0,0,0,0,50
18,v1702,20170112,6150,6150,6450,6450,6450,6450,6450,300,300,2,64500,48
19,v1702,20170113,6450,6450,6450,6450,6400,6400,6420,-50,-30,20,642000,28
20,v1702,20170116,6400,6420,6600,6600,6205,6205,6400,-215,-20,4,128050,26
21,v1702,20170117,6205,6400,0,0,0,6400,6400,0,0,0,0,26
22,v1702,20170118,6400,6400,0,0,0,6395,6395,-5,-5,0,0,26
23,v1702,20170119,6395,6395,6080,6085,6080,6085,6080,-310,-315,4,121650,26
24,v1702,20170120,6085,6080,5780,5780,5780,5780,5780,-300,-300,30,867000,12
25,v1702,20170123,5780,5780,0,0,0,5780,5780,0,0,0,0,12
26,v1702,20170124,5780,5780,0,0,0,5780,5780,0,0,0,0,12
27,v1702,20170125,5780,5780,0,0,0,5780,5780,0,0,0,0,12
28,v1702,20170126,5780,5780,0,0,0,5780,5780,0,0,0,0,12
29,v1702,20170203,5780,5780,0,0,0,5780,5780,0,0,0,0,12
30,v1702,20170206,5780,5780,0,0,0,5780,5780,0,0,0,0,12
31,v1702,20170207,5780,5780,0,0,0,5780,5780,0,0,0,0,12
32,v1702,20170208,5780,5780,0,0,0,5780,5780,0,0,0,0,12
33,v1702,20170209,5780,5780,0,0,0,5780,5780,0,0,0,0,12
