ROWNUM,合约,日期,前收盘价,前结算价,开盘价,最高价,最低价,收盘价,结算价,涨跌1,涨跌2,成交量,成交金额,持仓量
1,y1701,20170103,6900,6890,6920,6956,6744,6744,6852,-146,-38,3494,239414040,16466
2,y1701,20170104,6744,6852,6846,6850,6770,6850,6830,-2,-22,1600,109297480,16066
3,y1701,20170105,6850,6830,6850,6850,6850,6850,6850,20,20,2042,139877000,16142
4,y1701,20170106,6850,6850,6850,6850,6850,6850,6850,0,0,174,11919000,14356
5,y1701,20170109,6850,6850,0,0,0,6840,6840,-10,-10,0,0,9356
6,y1701,20170110,6840,6840,6820,6820,6664,6820,6772,-20,-68,66,4470000,966
7,y1701,20170111,6820,6772,6860,6860,6860,6860,6862,88,90,18,1235360,450
8,y1701,20170112,6860,6862,6870,6870,6860,6860,6864,-2,2,40,2745720,60
9,y1701,20170113,6860,6864,0,0,0,6864,6864,0,0,0,0,0
10,y1701,20170116,6864,6864,0,0,0,6846,6846,-18,-18,0,0,0
11,y1703,20170103,6832,6832,0,0,0,6832,6832,0,0,0,0,4
12,y1703,20170104,6832,6832,6866,6866,6866,6866,6866,34,34,2,137320,2
13,y1703,20170105,6866,6866,0,0,0,6866,6866,0,0,0,0,2
14,y1703,20170106,6866,6866,0,0,0,6866,6866,0,0,0,0,2
15,y1703,20170109,6866,6866,0,0,0,6866,6866,0,0,0,0,2
16,y1703,20170110,6866,6866,0,0,0,6866,6866,0,0,0,0,2
17,y1703,20170111,6866,6866,6928,6928,6928,6928,6928,62,62,4,277120,4
18,y1703,20170112,6928,6928,0,0,0,6928,6928,0,0,0,0,4
19,y1703,20170113,6928,6928,0,0,0,6928,6928,0,0,0,0,4
20,y1703,20170116,6928,6928,6942,6942,6942,6942,6942,14,14,2,138840,2
21,y1703,20170117,6942,6942,0,0,0,6942,6942,0,0,0,0,2
22,y1703,20170118,6942,6942,0,0,0,6942,6942,0,0,0,0,2
23,y1703,20170119,6942,6942,0,0,0,6942,6942,0,0,0,0,2
24,y1703,20170120,6942,6942,0,0,0,6942,6942,0,0,0,0,2
25,y1703,20170123,6942,6942,0,0,0,6942,6942,0,0,0,0,2
26,y1703,20170124,6942,6942,7068,7068,6894,6894,6980,-48,38,4,279240,2
27,y1703,20170125,6894,6980,0,0,0,6980,6980,0,0,0,0,2
28,y1703,20170126,6980,6980,0,0,0,6980,6980,0,0,0,0,2
29,y1703,20170203,6980,6980,0,0,0,6980,6980,0,0,0,0,2
30,y1703,20170206,6980,6980,0,0,0,6950,6950,-30,-30,0,0,2
31,y1703,20170207,6950,6950,0,0,0,6950,6950,0,0,0,0,2
32,y1703,20170208,6950,6950,0,0,0,6950,6950,0,0,0,0,2
33,y1703,20170209,6950,6950,0,0,0,6950,6950,0,0,0,0,2
34,y1703,20170210,6950,6950,6796,6812,6796,6812,6804,-138,-146,4,272160,2
35,y1703,20170213,6812,6804,0,0,0,6804,6804,0,0,0,0,2
36,y1703,20170214,6804,6804,0,0,0,6804,6804,0,0,0,0,2
37,y1703,20170215,6804,6804,0,0,0,6804,6804,0,0,0,0,2
38,y1703,20170216,6804,6804,0,0,0,6804,6804,0,0,0,0,2
39,y1703,20170217,6804,6804,6848,6848,6474,6540,6556,-264,-248,14,918080,2
40,y1703,20170220,6540,6556,0,0,0,6556,6556,0,0,0,0,2
41,y1703,20170221,6556,6556,6736,6736,6486,6486,6610,-70,54,4,264440,4
42,y1703,20170222,6486,6610,0,0,0,6610,6610,0,0,0,0,4
43,y1703,20170223,6610,6610,0,0,0,6610,6610,0,0,0,0,4
44,y1703,20170224,6610,6610,0,0,0,6610,6610,0,0,0,0,4
45,y1703,20170227,6610,6610,6602,6602,6602,6602,6602,-8,-8,2,132040,2
46,y1703,20170228,6602,6602,6680,6680,6398,6398,6482,-204,-120,20,1296760,2
47,y1703,20170301,6398,6482,0,0,0,6094,6094,-388,-388,0,0,2
48,y1703,20170302,6094,6094,0,0,0,5546,5546,-548,-548,0,0,2
49,y1703,20170303,5546,5546,5130,5130,5130,5130,5130,-416,-416,2,102600,0
50,y1703,20170306,5130,5130,0,0,0,5130,5130,0,0,0,0,0
51,y1703,20170307,5130,5130,0,0,0,5130,5130,0,0,0,0,0
52,y1703,20170308,5130,5130,0,0,0,5130,5130,0,0,0,0,0
53,y1703,20170309,5130,5130,0,0,0,5130,5130,0,0,0,0,0
54,y1703,20170310,5130,5130,0,0,0,5130,5130,0,0,0,0,0
55,y1703,20170313,5130,5130,0,0,0,5130,5130,0,0,0,0,0
56,y1703,20170314,5130,5130,0,0,0,5130,5130,0,0,0,0,0
57,y1705,20170103,6980,6992,6988,7058,6940,6950,7008,-42,16,365268,25602730040,690910
58,y1705,20170104,6950,7008,6972,6998,6822,6880,6898,-128,-110,582356,40181624680,731594
59,y1705,20170105,6880,6898,6900,6930,6852,6874,6892,-24,-6,393544,27130012200,730618
60,y1705,20170106,6874,6892,6874,6900,6794,6800,6852,-92,-40,359944,24669287840,749254
61,y1705,20170109,6800,6852,6822,6848,6782,6824,6818,-28,-34,408540,27862404080,729550
62,y1705,20170110,6824,6818,6816,6898,6812,6878,6852,60,34,409104,28035636480,713350
63,y1705,20170111,6878,6852,6860,6952,6850,6950,6908,98,56,467120,32269054400,702340
64,y1705,20170112,6950,6908,6958,6964,6902,6932,6936,24,28,330464,22923461560,711234
65,y1705,20170113,6932,6936,6926,6994,6896,6936,6950,0,14,370210,25732244320,715642
66,y1705,20170116,6936,6950,6926,7020,6908,7000,6968,50,18,370910,25848906360,694024
67,y1705,20170117,7000,6968,7014,7064,6970,7024,7014,56,46,405022,28411764080,695316
68,y1705,20170118,7024,7014,7038,7052,6974,7020,7006,6,-8,374022,26210713520,681198
69,y1705,20170119,7020,7006,7008,7070,6992,7010,7028,4,22,355212,24965045000,668934
70,y1705,20170120,7010,7028,7016,7036,6976,7000,7004,-28,-24,264832,18552316400,648028
71,y1705,20170123,7000,7004,6998,6998,6944,6972,6970,-32,-34,256178,17855783720,637806
72,y1705,20170124,6972,6970,6970,7084,6956,7066,7022,96,52,338142,23747984280,642812
73,y1705,20170125,7066,7022,7070,7072,6962,6982,7012,-40,-10,261372,18331631600,637712
74,y1705,20170126,6982,7012,6990,7022,6926,6936,6970,-76,-42,236768,16506991440,639586
75,y1705,20170203,6936,6970,6926,6960,6836,6854,6884,-116,-86,228264,15714271640,654040
76,y1705,20170206,6854,6884,6858,6910,6842,6864,6870,-20,-14,343954,23633863160,683186
77,y1705,20170207,6864,6870,6868,6906,6830,6844,6868,-26,-2,271606,18657361360,715812
78,y1705,20170208,6844,6868,6832,6934,6832,6906,6890,38,22,366640,25264994320,710038
79,y1705,20170209,6906,6890,6904,6932,6882,6884,6910,-6,20,243498,16826772000,700542
80,y1705,20170210,6884,6910,6888,6958,6874,6956,6926,46,16,332846,23056455240,697962
81,y1705,20170213,6956,6926,6926,6978,6860,6868,6928,-58,2,500438,34678958920,701168
82,y1705,20170214,6868,6928,6878,6910,6822,6828,6872,-100,-56,360880,24801242160,703786
83,y1705,20170215,6828,6872,6852,6882,6812,6830,6842,-42,-30,363660,24885118720,696142
84,y1705,20170216,6830,6842,6832,6872,6800,6800,6836,-42,-6,404834,27682055920,711570
85,y1705,20170217,6800,6836,6792,6826,6684,6690,6752,-146,-84,559224,37766295360,674438
86,y1705,20170220,6690,6752,6688,6718,6672,6698,6692,-54,-60,246048,16469502880,661152
87,y1705,20170221,6698,6692,6690,6722,6632,6670,6688,-22,-4,453510,30331088880,684604
88,y1705,20170222,6670,6688,6652,6668,6606,6654,6636,-34,-52,340086,22574640160,686626
89,y1705,20170223,6654,6636,6666,6676,6560,6584,6616,-52,-20,396318,26223965240,698940
90,y1705,20170224,6584,6616,6600,6604,6518,6588,6576,-28,-40,309544,20355858680,674262
91,y1705,20170227,6588,6576,6598,6624,6562,6578,6596,2,20,331488,21870149600,680246
92,y1705,20170228,6578,6596,6570,6598,6534,6572,6568,-24,-28,298660,19619320120,676220
93,y1705,20170301,6572,6568,6616,6712,6594,6652,6656,84,88,567856,37802194520,654728
94,y1705,20170302,6652,6656,6688,6716,6648,6688,6680,32,24,335560,22417597240,611066
95,y1705,20170303,6688,6680,6680,6694,6634,6672,6668,-8,-12,271558,18109835520,600346
96,y1705,20170306,6672,6668,6672,6728,6636,6686,6676,18,8,326362,21792255480,587368
97,y1705,20170307,6686,6676,6686,6688,6568,6586,6616,-90,-60,409912,27120156160,608580
98,y1705,20170308,6586,6616,6572,6596,6486,6538,6536,-78,-80,364530,23832170040,592516
99,y1705,20170309,6538,6536,6548,6564,6470,6536,6530,0,-6,334204,21824098560,592816
100,y1705,20170310,6536,6530,6510,6514,6388,6414,6448,-116,-82,414058,26703006360,592592
101,y1705,20170313,6414,6448,6420,6462,6408,6436,6434,-12,-14,305690,19674040880,574732
102,y1705,20170314,6436,6434,6400,6408,6334,6354,6370,-80,-64,418912,26685615080,589072
103,y1705,20170315,6354,6370,6366,6390,6294,6348,6350,-22,-20,369382,23461014960,552050
104,y1705,20170316,6348,6350,6378,6392,6300,6340,6340,-10,-10,374026,23718394480,580150
105,y1705,20170317,6340,6340,6356,6398,6324,6374,6362,34,22,295404,18795189320,550432
106,y1705,20170320,6374,6362,6386,6398,6350,6396,6372,34,10,296168,18875275080,500860
107,y1705,20170321,6396,6372,6396,6412,6342,6380,6380,8,8,210912,13458698320,466082
108,y1705,20170322,6380,6380,6396,6408,6352,6354,6378,-26,-2,169454,10808900760,440270
109,y1705,20170323,6354,6378,6354,6360,6264,6270,6310,-108,-68,181880,11478044640,425004
110,y1705,20170324,6270,6310,6280,6306,6218,6228,6254,-82,-56,130098,8138312000,410998
111,y1705,20170327,6228,6254,6222,6234,6056,6066,6126,-188,-128,180154,11038158200,390202
112,y1705,20170328,6066,6126,6048,6100,6020,6056,6060,-70,-66,143032,8668702920,356560
113,y1705,20170329,6056,6060,6066,6092,6048,6070,6070,10,10,95924,5823085600,337522
114,y1705,20170330,6070,6070,6080,6088,5978,5996,6030,-74,-40,120720,7279626160,332596
115,y1705,20170331,5996,6030,5938,6024,5900,5904,5968,-126,-62,100200,5981156800,316256
116,y1705,20170405,5904,5968,5900,5958,5836,5934,5904,-34,-64,88352,5217151920,294390
117,y1705,20170406,5934,5904,5948,5974,5920,5950,5944,46,40,80832,4805871640,271212
118,y1705,20170407,5950,5944,5956,5964,5820,5872,5894,-72,-50,94240,5556187480,246578
119,y1705,20170410,5872,5894,5868,5944,5858,5864,5894,-30,0,137520,8105697920,192394
120,y1705,20170411,5864,5894,5860,5912,5844,5892,5884,-2,-10,53436,3144372600,173594
121,y1705,20170412,5892,5884,5896,5910,5778,5780,5838,-104,-46,62830,3668466040,156816
122,y1705,20170413,5780,5838,5786,5836,5780,5820,5816,-18,-22,46938,2730187400,136440
123,y1705,20170414,5820,5816,5814,5840,5774,5802,5806,-14,-10,39614,2300239960,127402
124,y1705,20170417,5802,5806,5802,5874,5800,5800,5838,-6,32,38902,2271125040,120228
125,y1705,20170418,5800,5838,5814,5854,5760,5760,5808,-78,-30,56068,3256971880,97234
126,y1705,20170419,5760,5808,5750,5750,5612,5622,5656,-186,-152,53312,3015804600,79860
127,y1705,20170420,5622,5656,5630,5690,5584,5670,5664,14,8,40288,2282063000,69992
128,y1705,20170421,5670,5664,5700,5700,5656,5688,5682,24,18,19220,1092194760,63708
129,y1705,20170424,5688,5682,5602,5760,5602,5750,5734,68,52,25446,1459186440,51778
