合约,日期,前收盘,前结算,开盘价,最高价,最低价,收盘价,结算价,涨跌1,涨跌2,成交量,成交金额,持仓量
al1001,20100104,16800,16700,16620,16800,16510,16680,16715,-20,15,2090,"17,467.58",23050
,20100105,16680,16715,16760,16950,16720,16945,16825,230,110,3300,"27,763.05",22540
,20100106,16945,16825,16980,17660,16980,17560,17355,735,530,5470,"47,478.70",20830
,20100107,17560,17355,17600,18010,17010,17300,17470,-55,115,2660,"23,236.58",19850
,20100108,17300,17470,17200,17330,16705,17065,17075,-405,-395,3220,"27,496.40",18600
,20100111,17065,17075,17350,17550,17290,17550,17400,475,325,3570,"31,061.28",18380
,20100112,17550,17400,17550,17700,17400,17600,17540,200,140,1240,"10,875.58",18400
,20100113,17600,17540,17260,17260,16700,17000,17025,-540,-515,5340,"45,459.33",16270
,20100114,17000,17025,17150,17240,17135,17170,17195,145,170,1620,"13,931.88",14980
,20100115,17170,17195,17200,17365,16900,17150,17205,-45,10,3140,"27,014.28",14680
al1002,20100104,17000,16910,17020,17020,16795,16830,16905,-80,-5,3404,"28,779.53",36674
,20100105,16830,16905,16945,17180,16840,17130,17030,225,125,1800,"15,327.73",36184
,20100106,17130,17030,17195,17880,17185,17745,17555,715,525,3630,"31,870.61",35334
,20100107,17745,17555,18000,18260,17085,17510,17660,-45,105,6886,"60,806.11",33948
,20100108,17510,17660,17400,17570,17055,17180,17240,-480,-420,5356,"46,172.03",33340
,20100111,17180,17240,17480,17840,17475,17840,17610,600,370,4646,"40,913.53",32854
,20100112,17840,17610,17720,17910,17580,17880,17765,270,155,4414,"39,211.83",32424
,20100113,17880,17765,17100,17590,16880,17050,17135,-715,-630,3660,"31,366.06",30838
,20100114,17050,17135,17420,17470,17215,17215,17305,80,170,1526,"13,205.65",30078
,20100115,17215,17305,17350,17450,17195,17250,17360,-55,55,2724,"23,648.74",29868
,20100118,17250,17360,17290,17360,17135,17335,17275,-25,-85,944,"8,154.10",29646
,20100119,17335,17275,17350,17480,17300,17300,17360,25,85,2174,"18,874.96",28862
,20100120,17300,17360,17435,17435,17140,17150,17230,-210,-130,2834,"24,420.97",28386
,20100121,17150,17230,16825,17210,16825,17140,17115,-90,-115,5254,"44,962.75",27272
,20100122,17140,17115,17010,17050,16700,16725,16880,-390,-235,5992,"50,581.17",25270
,20100125,16725,16880,16700,16975,16700,16935,16850,55,-30,2388,"20,124.43",24426
,20100126,16935,16850,16920,16935,16750,16750,16850,-100,0,3312,"27,910.38",24134
,20100127,16750,16850,16845,16845,16720,16720,16780,-130,-70,1970,"16,529.98",23366
,20100128,16720,16780,16720,16720,16080,16090,16250,-690,-530,3170,"25,763.94",23416
,20100129,16090,16250,16000,16000,15705,15860,15900,-390,-350,4068,"32,347.47",21810
,20100201,15860,15900,15995,15995,15675,15800,15795,-100,-105,2860,"22,591.38",21290
,20100202,15800,15795,15930,15975,15835,15935,15905,140,110,2490,"19,807.70",20540
,20100203,15935,15905,16130,16255,16010,16250,16140,345,235,3980,"32,121.08",19320
,20100204,16250,16140,16180,16180,15920,16070,16045,-70,-95,2930,"23,511.53",18300
,20100205,16070,16045,15800,15880,15750,15780,15810,-265,-235,1900,"15,022.63",17470
,20100208,15780,15810,15820,15870,15780,15870,15830,60,20,1870,"14,801.43",17330
,20100209,15870,15830,15825,16030,15825,16020,15905,190,75,1700,"13,522.70",16660
al1003,20100104,17160,17075,17165,17220,16975,17000,17085,-75,10,14860,"126,958.33",72788
,20100105,17000,17085,17060,17335,17045,17320,17190,235,105,20168,"173,375.88",70174
,20100106,17320,17190,17380,18045,17315,17960,17785,770,595,28902,"257,014.94",64346
,20100107,17960,17785,18070,18470,17000,17660,17830,-125,45,29716,"264,967.35",59740
,20100108,17660,17830,17560,17705,17160,17350,17380,-480,-450,15792,"137,259.96",56854
,20100111,17350,17380,17390,18080,17390,18060,17800,680,420,14162,"126,061.96",56170
,20100112,18060,17800,18000,18120,17780,18065,17985,265,185,11950,"107,480.14",54860
,20100113,18065,17985,17655,17655,17085,17305,17290,-680,-695,10868,"93,979.38",51658
,20100114,17305,17290,17660,17705,17380,17420,17485,130,195,3732,"32,628.32",51250
,20100115,17420,17485,17470,17640,17320,17405,17470,-80,-15,3936,"34,381.68",50268
,20100118,17405,17470,17280,17540,17230,17500,17430,30,-40,2928,"25,519.08",49360
,20100119,17500,17430,17510,17680,17450,17570,17540,140,110,4524,"39,679.76",48022
,20100120,17570,17540,17585,17590,17260,17275,17390,-265,-150,4366,"37,971.49",46282
